school,school_fna,site,city,state,seed,overall_se,year,id,result_num,osm_id,display_na,category,type,latlong,_distance
,,,Raleigh,NC,,,,201601,0,179052,"Raleigh, Wake County, North Carolina, United States of America",place,city,"35.7803977,-78.6390989",38
University of Kentucky,Kentucky,"Des Moines, IA",Lexington,KY,4,,2016,201602,0,4815526,"University of Kentucky, Cottage Grove Lane, Glendover, Shadeland, Lexington, Fayette County, Kentucky, 40506, United States of America",amenity,university,"38.027035749999996,-84.50481984038481",817
,,,Des Moines,IA,,,,201602,0,128653,"Des Moines, Polk County, Iowa, United States of America",place,city,"41.5910641,-93.6037149",817
,,,Brooklyn,NY,,,,201503,0,9691750,"Brooklyn, Kings County, New York, United States of America",boundary,administrative,"40.6501038,-73.9495823",0
Xavier University,Xavier,"St. Louis, MO",Cincinnati,OH,2,,2016,201604,0,2271876,"Xavier University, Clarion Avenue, Evanston, Cincinnati, Hamilton County, Ohio, 45207, United States of America",amenity,university,"39.1513078,-84.47083471474068",468
,,,St. Louis,MO,,,,201604,0,140167,"St. Louis, City of Saint Louis, Missouri, United States of America",place,city,"38.6268039,-90.1994097",468
University of Kansas,Kansas,"Des Moines, IA",Lawrence,KS,1,,2016,201605,0,358625153,"University of Kansas, Jayhawk Boulevard, Lawrence, Douglas County, Kansas, 66045, United States of America",amenity,university,"38.958058,-95.2477503",303
,,,Des Moines,IA,,,,201605,0,128653,"Des Moines, Polk County, Iowa, United States of America",place,city,"41.5910641,-93.6037149",303
University of California,Cal,"Spokane, WA",Berkeley,CA,4,,2016,201606,0,2814221,"University of California, Berkeley, Bancroft Way, Southside, Berkeley, Alameda County, California, 94704, United States of America",amenity,university,"37.8753497,-122.23963364918777",1081
,,,Spokane,WA,,,,201606,0,237599,"Spokane, Spokane County, Washington, United States of America",place,city,"47.6579425,-117.4212265",1081
University of Miami,Miami (Florida),"Providence, RI",Miami,FL,3,,2016,201607,0,503484106,"University of Miami, Theo Dickenson Drive, Coral Gables, Miami-Dade County, Florida, 33124, United States of America",amenity,university,"25.7172788,-80.27869157646253",1837
,,,Providence,RI,,,,201607,0,191210,"Providence, Providence County, Rhode Island, United States of America",place,city,"41.8239891,-71.4128343",1837
Villanova University,Villanova,"Brooklyn, NY",Radnor Township,PA,2,,2016,201608,0,5368369743,"Villanova University, East Lancaster Avenue, Villanova, Radnor Township, Delaware County, Pennsylvania, 19010, United States of America",amenity,university,"40.03575,-75.3401787",128
,,,Brooklyn,NY,,,,201608,0,9691750,"Brooklyn, Kings County, New York, United States of America",boundary,administrative,"40.6501038,-73.9495823",128
University of Oregon,Oregon,"Spokane, WA",Eugene,OR,1,,2016,201609,0,2084414,"Jordan Schnitzer Museum of Art, 1430, Johnson Lane, College Hill, Eugene, Lane County, Oregon, 97403, United States of America",tourism,museum,"44.04426385,-123.07682891244703",557
,,,Spokane,WA,,,,201609,0,237599,"Spokane, Spokane County, Washington, United States of America",place,city,"47.6579425,-117.4212265",557
Duke University,Duke,"Providence, RI",Durham,NC,4,,2016,201610,0,7407432,"Duke University, Campus Walk Avenue, Crest Street, University Estates, Durham, Durham County, North Carolina, 27705, United States of America",amenity,university,"36.00015569999999,-78.94422972195878",859
,,,Providence,RI,,,,201610,0,191210,"Providence, Providence County, Rhode Island, United States of America",place,city,"41.8239891,-71.4128343",859
Texas A&M,Texas A&M,"Oklahoma City, OK",College Station,TX,3,,2016,201611,0,53623224,"Texas A & M, Lakeway Drive, Pebble Creek, College Station, Brazos County, Texas, 77845, United States of America",building,yes,"30.5518161,-96.24359931287475",523
,,,Oklahoma City,OK,,,,201611,0,185048,"Oklahoma City, Oklahoma County, Oklahoma, United States of America",place,city,"35.4729886,-97.5170536",523
University of Oklahoma,Oklahoma,"Oklahoma City, OK",Norman,OK,2,,2016,201612,0,160530765,"Fred Jones Jr Museum of Art, 555, Elm Avenue, Hall Park, Norman, Cleveland County, Oklahoma, 73019, United States of America",tourism,museum,"35.2107272,-97.44732295",28
,,,Oklahoma City,OK,,,,201612,0,185048,"Oklahoma City, Oklahoma County, Oklahoma, United States of America",place,city,"35.4729886,-97.5170536",28
University of Virginia,Virginia,"Raleigh, NC",Charlottesville,VA,1,,2016,201613,0,4218705,"University of Virginia, Old Farm Road, Charlottesville, Virginia, 22903, United States of America",amenity,university,"38.0410576,-78.50549960183568",235
,,,Raleigh,NC,,,,201613,0,179052,"Raleigh, Wake County, North Carolina, United States of America",place,city,"35.7803977,-78.6390989",235
Iowa State University,Iowa State,"Denver, CO",Ames,IA,4,,2016,201614,0,3501275,"Iowa State University, Hilton Court, Old Orchard Mobile Home Park, Ames, Story County, Iowa, 50011, United States of America",amenity,university,"42.02791015,-93.64464414737449",924
,,,Denver,CO,,,,201614,0,253750,"Denver, Denver County, Colorado, United States of America",place,city,"39.7392364,-104.9848623",924
University of Utah,Utah,"Denver, CO",Salt Lake City,UT,3,,2016,201615,0,238655718,"University of Utah, 201, Presidents Circle, East Central, Salt Lake City, Salt Lake County, Utah, 84112, United States of America",amenity,university,"40.762813699999995,-111.83687191368261",555
,,,Denver,CO,,,,201615,0,253750,"Denver, Denver County, Colorado, United States of America",place,city,"39.7392364,-104.9848623",555
Michigan State University,Michigan State,"St. Louis, MO",East Lansing,MI,2,,2016,201616,0,25822326,"Michigan State University, Abbot Entrance, East Lansing, Ingham County, Michigan, 48825, United States of America",amenity,university,"42.718568000000005,-84.47791570930522",621
,,,St. Louis,MO,,,,201616,0,140167,"St. Louis, City of Saint Louis, Missouri, United States of America",place,city,"38.6268039,-90.1994097",621
Villanova University,Villanova,"Pittsburgh, PA",Radnor Township,PA,1,,2018,201801,0,5368369743,"Villanova University, East Lancaster Avenue, Villanova, Radnor Township, Delaware County, Pennsylvania, 19010, United States of America",amenity,university,"40.03575,-75.3401787",372
,,,Pittsburgh,PA,,,,201801,0,188553,"Pittsburgh, Allegheny County, Pennsylvania, United States of America",place,city,"40.4416941,-79.9900861",372
Wichita State University,Wichita State,"San Diego, CA",Wichita,KS,4,,2018,201802,0,358638418,"Wichita State University, Perimeter Road, Wichita, Sedgwick County, Kansas, 67260, United States of America",amenity,university,"37.71918,-97.2933776",1766
,,,San Diego,CA,,,,201802,0,253832,"San Diego, San Diego County, California, United States of America",place,city,"32.7174209,-117.1627714",1766
Texas Tech University,Texas Tech,"San Diego, CA",Lubbock,TX,3,,2018,201803,0,460896580,"Texas Tech University, 2500, Broadway Street, South Overton, Lubbock, Lubbock County, Texas, 79409, United States of America",amenity,university,"33.59375255,-101.89959552302756",1334
,,,San Diego,CA,,,,201803,0,253832,"San Diego, San Diego County, California, United States of America",place,city,"32.7174209,-117.1627714",1334
Purdue University,Purdue,"Detroit, MI",West Lafayette,IN,2,,2018,201804,0,74143797,"Purdue University, Lindberg Road, Wabash Shores, West Lafayette, Tippecanoe County, Indiana, 47906, United States of America",amenity,university,"40.43195815,-86.92391089364378",362
,,,Detroit,MI,,,,201804,0,134591,"Detroit, Wayne County, Michigan, United States of America",place,city,"42.3315509,-83.0466403",362
University of Kansas,Kansas,"Wichita, KS",Lawrence,KS,1,,2018,201805,0,358625153,"University of Kansas, Jayhawk Boulevard, Lawrence, Douglas County, Kansas, 66045, United States of America",amenity,university,"38.958058,-95.2477503",216
,,,Wichita,KS,,,,201805,0,129814,"Wichita, Sedgwick County, Kansas, United States of America",place,city,"37.6922361,-97.3375448",216
Auburn University,Auburn,"San Diego, CA",Auburn,AL,4,,2018,201806,0,8457841,"Auburn University, North Donahue Drive, Cary Woods, Auburn, Lee County, Alabama, 36849, United States of America",amenity,university,"32.59196300000001,-85.49598606691626",2769
,,,San Diego,CA,,,,201806,0,253832,"San Diego, San Diego County, California, United States of America",place,city,"32.7174209,-117.1627714",2769
Michigan State University,Michigan State,"Detroit, MI",East Lansing,MI,3,,2018,201807,0,25822326,"Michigan State University, Abbot Entrance, East Lansing, Ingham County, Michigan, 48825, United States of America",amenity,university,"42.718568000000005,-84.47791570930522",117
,,,Detroit,MI,,,,201807,0,134591,"Detroit, Wayne County, Michigan, United States of America",place,city,"42.3315509,-83.0466403",117
Duke University,Duke,"Pittsburgh, PA",Durham,NC,2,,2018,201808,0,7407432,"Duke University, Campus Walk Avenue, Crest Street, University Estates, Durham, Durham County, North Carolina, 27705, United States of America",amenity,university,"36.00015569999999,-78.94422972195878",469
,,,Pittsburgh,PA,,,,201808,0,188553,"Pittsburgh, Allegheny County, Pennsylvania, United States of America",place,city,"40.4416941,-79.9900861",469
Xavier University,Xavier,"Nashville, TN",Cincinnati,OH,1,,2018,201809,0,2271876,"Xavier University, Clarion Avenue, Evanston, Cincinnati, Hamilton County, Ohio, 45207, United States of America",amenity,university,"39.1513078,-84.47083471474068",364
,,,Nashville,TN,,,,201809,0,197472,"Nashville-Davidson, Davidson County, Tennessee, United States of America",place,city,"36.1622296,-86.7743531",364
