Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
226,Massachusetts Minutemen,Amherst Massachusetts,1926,2020,61,1755,954,801,.544,0.65,-0.26,5,15,5,9,1,0
227,Massachusetts-Lowell River Hawks,Lowell Massachusetts,1906,2020,8,220,96,124,.436,-10.74,-5.58,0,0,0,0,0,0
228,McNeese State Cowboys,Lake Charles Louisiana,1974,2020,47,1349,644,705,.477,-7.17,-4.72,0,6,2,2,0,0
229,Memphis Tigers,Memphis Tennessee,1956,2020,65,1967,1315,652,.669,8.68,3.61,16,18,11,25,3,0
230,Mercer Bears,Macon Georgia,1974,2020,47,1378,658,720,.478,-7.90,-5.36,0,3,3,3,0,0
231,Merchant Marine Academy Mariners,King's Point New York,1946,1947,2,39,13,26,.333,,,0,0,0,0,0,0
232,Merrimack Warriors,North Andover Massachusetts,2020,2020,1,23,15,8,.652,-6.97,-5.47,0,0,0,0,0,0
233,Miami (FL) Hurricanes,Coral Gables Florida,1949,2020,57,1634,935,699,.572,3.17,3.39,7,2,1,10,0,0
234,Miami (OH) RedHawks,Oxford Ohio,1906,2020,115,2606,1397,1209,.536,2.13,0.93,1,18,4,17,0,0
235,Michigan State Spartans,East Lansing Michigan,1899,2020,121,2832,1733,1099,.612,11.71,7.67,24,15,6,33,10,2
236,Michigan Wolverines,Ann Arbor Michigan,1918,2020,103,2677,1629,1048,.609,10.78,7.72,22,14,3,29,8,1
237,Middle Tennessee Blue Raiders,Murfreesboro Tennessee,1959,2020,62,1761,974,787,.553,-3.96,-2.81,0,11,7,9,0,0
238,Millikin Big Blue,Decatur Illinois,1910,1921,12,210,150,60,.714,,,0,0,0,,,
239,Millsaps Majors,Jackson Mississippi,1911,1921,11,116,59,57,.509,,,0,0,0,,,
240,Milwaukee Panthers,Milwaukee Wisconsin,1974,2020,37,1087,532,555,.489,-3.86,-1.37,0,4,4,4,0,0
241,Minnesota A&M Aggies,St. Paul Minnesota,1896,1903,4,30,27,3,.900,,,0,0,0,,,
242,Minnesota Golden Gophers,Minneapolis Minnesota,1896,2020,125,2889,1660,1227,.575,9.76,7.60,10,9,0,14,1,0
243,Mississippi Rebels,University Mississippi,1909,2020,110,2652,1324,1326,.500,2.49,4.34,2,3,2,9,0,0
244,Mississippi State Bulldogs,Mississippi State Mississippi,1909,2020,108,2645,1439,1206,.544,4.20,4.33,11,12,5,11,1,0
245,Mississippi Valley State Delta Devils,Itta Bena Mississippi,1980,2020,41,1200,476,724,.397,-14.28,-8.91,0,7,5,5,0,0
246,Missouri State Bears,Springfield Missouri,1983,2020,38,1188,699,489,.588,4.18,1.22,0,5,3,6,0,0
247,Missouri Tigers,Columbia Missouri,1907,2020,114,2828,1650,1178,.583,8.72,6.04,14,15,8,27,0,0
248,Missouri-Kansas City Kangaroos,Kansas City Missouri,1990,2020,31,914,387,527,.423,-6.91,-3.18,0,0,0,0,0,0
249,Monmouth Hawks,West Long Branch New Jersey,1984,2020,37,1101,525,576,.477,-7.85,-6.15,0,4,4,4,0,0
250,Montana Grizzlies,Missoula Montana,1912,2020,105,2658,1449,1209,.545,-2.41,-2.62,0,13,11,12,0,0
251,Montana State Bobcats,Bozeman Montana,1902,2020,109,2639,1438,1201,.545,-5.25,-2.67,0,10,2,2,0,0
252,Morehead State Eagles,Morehead Kentucky,1956,2020,65,1795,894,901,.498,-5.86,-3.53,0,9,4,7,0,0
253,Morgan State Bears,Baltimore Maryland,1985,2020,36,1058,389,669,.368,-15.56,-9.00,0,3,2,2,0,0
254,Morris Brown Wolverines,Atlanta Georgia,2002,2003,2,57,13,44,.228,-25.82,-6.03,0,0,0,0,0,0
255,Mount St. Mary's Mountaineers,Emmitsburg Maryland,1989,2020,32,946,412,534,.436,-9.20,-6.41,0,2,5,5,0,0
256,Mount Union Purple Raiders,Alliance Ohio,1896,1932,37,493,314,179,.637,,,0,0,0,,,
257,Muhlenburg Mules,Allentown Pennsylvania,1901,1963,56,1064,579,484,.545,-10.33,-4.35,0,3,0,0,0,0
258,Murray State Racers,Murray Kentucky,1954,2020,67,1909,1214,695,.636,-0.54,-3.23,2,27,16,17,0,0
259,Muskingum Fighting Muskies,New Concord Ohio,1905,1927,3,48,44,4,.917,,,0,0,0,,,
260,Navy Midshipmen,Annapolis Maryland,1908,2020,113,2482,1407,1075,.567,-4.94,-4.04,1,8,6,11,0,0
261,Nebraska Cornhuskers,Lincoln Nebraska,1897,2020,124,2902,1522,1380,.524,5.71,6.11,2,7,1,7,0,0
262,Nebraska Wesleyan Prairie Wolves,Lincoln Nebraska,1906,1917,12,188,134,54,.713,,,0,0,0,,,
263,Nevada Wolf Pack,Reno Nevada,1913,2020,65,1720,968,752,.563,0.41,1.21,4,12,5,9,0,0
264,Nevada-Las Vegas Rebels,Las Vegas Nevada,1970,2020,51,1601,1111,490,.694,9.36,3.21,16,13,11,20,4,1
265,New Hampshire Wildcats,Durham New Hampshire,1927,2020,68,1741,599,1142,.344,-14.72,-7.04,0,1,0,0,0,0
266,New Mexico Lobos,Albuquerque New Mexico,1900,2020,114,2608,1513,1095,.580,3.98,2.19,11,12,6,15,0,0
267,New Mexico State Aggies,Las Cruces New Mexico,1905,2020,110,2637,1556,1079,.591,1.28,-0.29,5,19,12,25,1,0
268,New Orleans Privateers,New Orleans Louisiana,1976,2020,43,1257,685,572,.545,-2.21,-2.17,2,8,4,5,0,0
269,New York University Violets,New York New York,1907,1971,65,1184,725,459,.612,-0.44,-0.12,2,6,0,6,2,0
270,Newberry Wolves,Newberry South Carolina,1921,1921,1,4,2,2,.500,,,0,0,0,,,
271,Niagara Purple Eagles,Niagara University New York,1906,2020,114,2737,1478,1258,.540,-2.99,-1.80,2,10,2,3,0,0
272,Nicholls State Colonels,Thibodaux Louisiana,1981,2020,40,1130,461,669,.408,-12.01,-5.89,0,3,2,2,0,0
273,NJIT Highlanders,Newark New Jersey,2010,2020,11,336,164,172,.488,-9.49,-6.41,0,1,0,0,0,0
274,Norfolk State Spartans,Norfolk Virginia,1998,2020,23,707,336,371,.475,-11.31,-8.58,0,2,1,1,0,0
275,North Alabama Lions,Florence Alabama,2019,2020,2,54,20,34,.370,-9.67,-3.36,0,0,0,0,0,0
276,North Carolina A&T Aggies,Greensboro North Carolina,1974,2020,47,1377,668,709,.485,-12.66,-9.73,0,11,14,10,0,0
277,North Carolina Central Eagles,Durham North Carolina,2011,2020,10,317,192,125,.606,-6.74,-8.99,0,3,4,4,0,0
278,North Carolina State Wolfpack,Raleigh North Carolina,1913,2020,108,2828,1752,1076,.620,10.96,5.87,17,13,17,27,3,2
279,North Carolina Tar Heels,Chapel Hill North Carolina,1911,2020,110,3082,2271,811,.737,15.74,6.88,51,39,26,50,20,6
280,North Carolina-Asheville Bulldogs,Asheville North Carolina,1987,2020,34,1009,482,527,.478,-9.79,-5.55,0,7,5,4,0,0
281,North Carolina-Greensboro Spartans,Greensboro North Carolina,1992,2020,29,879,419,460,.477,-6.32,-4.25,0,6,3,3,0,0
282,North Carolina-Wilmington Seahawks,Wilmington North Carolina,1977,2020,44,1302,669,633,.514,-2.94,-2.49,0,8,6,6,0,0
283,North Central Cardinals,Naperville Illinois,1911,1922,8,115,78,37,.678,,,0,0,0,,,
284,North Dakota Fighting Hawks,Grand Forks North Dakota,1905,2020,27,507,300,207,.592,-7.66,-4.33,0,1,3,1,0,0
285,North Dakota State Bison,Fargo North Dakota,1898,2020,41,761,526,235,.691,-0.09,-2.93,0,3,4,4,0,0
286,North Florida Ospreys,Jacksonville Florida,2010,2020,11,354,177,177,.500,-5.45,-2.21,0,2,1,1,0,0
287,North Texas Mean Green,Denton Texas,1922,2020,65,1785,795,990,.445,-4.89,-0.37,0,3,3,3,0,0
288,Northeastern Huskies,Boston Massachusetts,1938,2020,57,1561,818,743,.524,-4.50,-4.27,0,13,9,9,0,0
289,Northeastern Illinois Golden Eagles,Chicago Illinois,1991,1998,8,216,78,138,.361,-14.90,-6.67,0,0,0,0,0,0
290,Northern Arizona Lumberjacks,Flagstaff Arizona,1919,2020,81,1926,875,1051,.454,-7.94,-3.01,0,6,2,2,0,0
291,Northern Colorado Bears,Greeley Colorado,1911,2020,41,755,405,350,.536,-3.86,-4.19,0,3,1,1,0,0
292,Northern Illinois Huskies,De Kalb Illinois,1927,2020,54,1509,683,826,.453,-3.80,-1.13,0,3,2,3,0,0
293,Northern Iowa Panthers,Cedar Falls Iowa,1981,2020,40,1207,641,566,.531,1.23,1.58,1,2,6,8,0,0
294,Northern Kentucky Norse,Highland Heights Kentucky,2013,2020,8,242,130,112,.537,-2.70,-3.61,0,2,2,2,0,0
295,Northwest Missouri State Bearcats,Maryville Missouri,1930,1932,3,97,89,8,.918,,,0,0,0,,,
296,Northwestern State Demons,Natchitoches Louisiana,1977,2020,44,1264,558,706,.441,-9.93,-5.61,0,3,3,3,0,0
297,Northwestern Wildcats,Evanston Illinois,1905,2020,115,2629,1094,1534,.416,3.37,7.37,0,2,0,1,0,0
298,Notre Dame Fighting Irish,Notre Dame Indiana,1897,2020,116,2934,1896,1037,.646,10.07,5.69,25,1,1,36,1,0
299,Oakland Golden Grizzlies,Rochester Michigan,2000,2020,21,670,362,308,.540,-1.12,-1.26,0,4,3,3,0,0
300,Oberlin Yeomen,Oberlin Ohio,1905,1921,7,82,61,21,.744,,,0,0,0,,,
301,Ohio Bobcats,Athens Ohio,1908,2020,113,2707,1540,1167,.569,0.42,-0.17,0,10,6,13,0,0
302,Ohio State Buckeyes,Columbus Ohio,1899,2020,121,2908,1783,1125,.613,11.77,7.37,22,22,5,33,11,1
303,Ohio Wesleyan Battling Bishops,Delaware Ohio,1929,1935,2,40,35,5,.875,,,0,0,0,,,
304,Oklahoma City Chiefs,Oklahoma City Oklahoma,1951,1985,35,948,530,418,.559,0.45,-0.93,3,0,1,11,0,0
305,Oklahoma Sooners,Norman Oklahoma,1908,2020,113,2790,1699,1091,.609,9.57,6.43,19,14,7,32,5,0
306,Oklahoma State Cowboys,Stillwater Oklahoma,1908,2020,111,2859,1671,1188,.584,8.68,5.75,18,19,4,28,6,2
307,Old Dominion Monarchs,Norfolk Virginia,1977,2020,44,1372,837,535,.610,3.28,-0.07,0,9,7,12,0,0
308,Omaha Mavericks,Omaha Nebraska,2013,2020,8,243,118,125,.486,-5.29,-2.26,0,0,0,0,0,0
309,Oral Roberts Golden Eagles,Tulsa Oklahoma,1972,2020,45,1336,748,588,.560,0.44,-1.02,2,7,5,5,0,0
310,Oregon Ducks,Eugene Oregon,1903,2020,115,3054,1685,1369,.552,6.05,5.79,5,6,5,16,2,1
311,Oregon State Beavers,Corvallis Oregon,1902,2020,119,3122,1773,1349,.568,6.12,5.49,8,12,0,17,2,0
312,Pacific Tigers,Stockton California,1938,2020,70,1974,1001,973,.507,-1.18,-0.16,1,10,5,9,0,0
313,Penn State Nittany Lions,University Park Pennsylvania,1897,2020,124,2686,1493,1192,.556,2.45,2.05,2,1,1,9,1,0
314,Pennsylvania Quakers,Philadelphia Pennsylvania,1897,2020,119,2912,1795,1116,.617,0.17,-2.98,6,38,1,24,1,0
315,Pepperdine Waves,Malibu California,1944,2020,66,1889,940,949,.498,-2.32,0.08,1,12,3,13,0,0
316,Phillips Haymakers,Enid Oklahoma,1920,1920,1,3,2,1,.667,,,0,0,0,,,
317,Pittsburg State Gorillas,Pittsburg Kansas,1927,1931,5,103,86,17,.835,,,0,0,0,,,
318,Pittsburgh Panthers,Pittsburgh Pennsylvania,1906,2020,113,2809,1629,1180,.580,5.23,4.12,13,11,4,26,1,0
319,Portland Pilots,Portland Oregon,1954,2020,67,1889,795,1094,.421,-5.28,0.65,0,0,1,2,0,0
320,Portland State Vikings,Portland Oregon,1973,2020,31,891,435,456,.488,-5.91,-2.90,0,2,2,2,0,0
321,Prairie View Panthers,Prairie View Texas,1981,2020,40,1156,340,816,.294,-20.69,-8.09,0,2,2,2,0,0
322,Pratt Institute Cannoneers,Brooklyn New York,1934,1934,1,14,8,6,.571,,,0,0,0,,,
323,Presbyterian Blue Hose,Clinton South Carolina,2011,2020,10,308,106,202,.344,-13.88,-5.21,0,0,0,0,0,0
324,Princeton Tigers,Princeton New Jersey,1901,2020,120,2855,1756,1098,.615,1.37,-3.56,4,30,1,25,1,0
325,Providence Friars,Providence Rhode Island,1929,2020,71,2044,1248,796,.611,7.49,4.32,6,0,2,20,2,0
326,Purdue Boilermakers,West Lafayette Indiana,1897,2020,122,2864,1834,1030,.640,11.83,7.62,22,24,1,31,2,0
327,Purdue-Fort Wayne Mastodons,Fort Wayne Indiana,2003,2020,18,554,260,294,.469,-6.08,-2.40,0,1,0,0,0,0
328,Quinnipiac Bobcats,Hamden Connecticut,1999,2020,22,650,310,340,.477,-8.19,-6.74,0,1,0,0,0,0
329,Radford Highlanders,Radford Virginia,1985,2020,36,1073,558,515,.520,-8.94,-6.97,0,5,3,3,0,0
330,Regis (CO) Rangers,Denver Colorado,1962,1964,3,66,37,29,.561,-4.77,0.04,0,0,0,0,0,0
331,Rensselaer Engineers,Troy New York,1901,1924,4,39,28,11,.718,,,0,0,0,,,
332,Rhode Island Rams,Kingston Rhode Island,1904,2020,114,2672,1531,1141,.573,-1.08,-0.65,0,15,2,10,0,0
333,Rice Owls,Houston Texas,1915,2020,106,2577,1123,1454,.436,-3.30,0.78,0,10,0,4,0,0
334,Richmond Spiders,Richmond Virginia,1913,2020,108,2606,1389,1217,.533,-2.19,-1.48,1,6,6,9,0,0
335,Rider Broncs,Lawrenceville New Jersey,1929,2020,57,1610,849,761,.527,-7.38,-6.06,0,12,3,3,0,0
336,Ripon Red Hawks,Ripon Wisconsin,1902,1922,5,59,46,13,.780,,,0,0,0,,,
337,Roanoke Maroons,Salem Virginia,1912,1919,8,92,67,25,.728,,,0,0,0,,,
338,Robert Morris Colonials,Moon Township Pennsylvania,1977,2020,44,1307,641,666,.490,-8.76,-6.77,0,11,8,8,0,0
339,Rochester (NY) Yellowjackets,Rochester New York,1910,1944,7,111,74,37,.667,,,0,0,0,0,0,0
340,Rose-Hulman Fightin' Engineers,Terre Haute Indiana,1898,1898,1,4,2,2,.500,,,0,0,0,,,
341,Rutgers Scarlet Knights,New Brunswick New Jersey,1914,2020,106,2475,1256,1219,.507,-0.91,0.60,2,9,2,6,1,0
342,Sacramento State Hornets,Sacramento California,1992,2020,29,820,254,566,.310,-12.37,-3.05,0,0,0,0,0,0
343,Sacred Heart Pioneers,Fairfield Connecticut,2000,2020,21,620,238,382,.384,-10.96,-7.03,0,0,0,0,0,0
344,Saint Francis (PA) Red Flash,Loretto Pennsylvania,1956,2020,65,1765,792,973,.449,-9.16,-4.47,0,2,1,1,0,0
345,Saint Joseph's Hawks,Philadelphia Pennsylvania,1910,2020,111,2796,1650,1146,.590,3.86,1.85,6,20,6,21,1,0
346,Saint Louis Billikens,St. Louis Missouri,1916,2020,104,2677,1448,1229,.541,4.98,3.96,10,7,3,10,0,0
347,Saint Mary's (CA) Gaels,Moraga California,1910,2020,111,2604,1360,1244,.522,-0.99,0.28,4,7,4,10,0,0
348,Saint Peter's Peacocks,Jersey City New Jersey,1966,2020,55,1565,772,793,.493,-5.09,-4.01,0,6,3,3,0,0
349,Sam Houston State Bearkats,Huntsville Texas,1987,2020,34,1006,528,478,.525,-6.93,-5.36,0,6,2,2,0,0
350,Samford Bulldogs,Birmingham Alabama,1973,2020,48,1384,601,783,.434,-9.06,-5.29,0,3,2,2,0,0
351,San Diego State Aztecs,San Diego California,1971,2020,50,1500,820,680,.547,3.62,3.31,3,8,7,12,0,0
352,San Diego Toreros,San Diego California,1980,2020,41,1205,599,606,.497,-0.29,0.54,0,2,2,4,0,0
353,San Francisco Dons,San Francisco California,1924,2020,93,2421,1402,1019,.579,2.37,0.62,9,15,1,16,3,2
354,San Jose State Spartans,San Jose California,1938,2020,70,1912,761,1151,.398,-4.18,0.81,0,1,2,2,0,0
355,Santa Clara Broncos,Santa Clara California,1909,2020,111,2625,1507,1118,.574,1.37,0.54,2,11,2,11,1,0
356,Savage School of Physical Education,New York New York,1896,1898,2,8,6,2,.750,,,0,0,0,,,
357,Savannah State Tigers,Savannah Georgia,2003,2019,17,513,189,324,.368,-16.73,-5.37,0,2,0,0,0,0
358,Scranton Royals,Scranton Pennsylvania,1948,1948,1,27,7,20,.259,,,0,0,0,0,0,0
359,Seattle Redhawks,Seattle Washington,1953,2020,38,1059,623,436,.588,1.05,-1.24,5,0,0,11,1,0
360,Seton Hall Pirates,South Orange New Jersey,1909,2020,107,2621,1531,1089,.584,3.65,3.57,7,3,3,13,1,0
361,Sewanee Tigers,Sewanee Tennessee,1923,1941,19,248,48,200,.194,,,0,0,0,0,0,0
362,Siena Saints,Loudonville New York,1939,2020,62,1702,928,774,.545,-4.13,-3.44,1,9,6,6,0,0
363,South Alabama Jaguars,Mobile Alabama,1972,2020,49,1430,800,630,.559,-0.87,-1.60,0,12,5,8,0,0
364,South Carolina Gamecocks,Columbia South Carolina,1909,2020,112,2704,1439,1264,.532,4.18,3.41,8,7,2,9,1,0
365,South Carolina State Bulldogs,Orangeburg South Carolina,1972,2020,49,1440,696,744,.483,-13.23,-10.47,0,8,5,5,0,0
366,South Carolina Upstate Spartans,Spartanburg South Carolina,2011,2020,10,319,135,184,.423,-8.61,-4.24,0,0,0,0,0,0
367,South Dakota Coyotes,Vermillion South Dakota,2011,2020,10,310,159,151,.513,-4.54,-3.27,0,1,0,0,0,0
368,South Dakota State Jackrabbits,Brookings South Dakota,2009,2020,12,393,254,139,.646,1.89,-2.62,0,5,5,5,0,0
369,South Florida Bulls,Tampa Florida,1974,2020,47,1385,633,752,.457,1.25,3.01,0,1,1,3,0,0
370,Southeast Missouri State Redhawks,Cape Girardeau Missouri,1992,2020,29,851,351,500,.412,-8.83,-4.67,0,1,1,1,0,0
371,Southeastern Louisiana Lions,Hammond Louisiana,1981,2020,39,1122,488,634,.435,-10.93,-6.30,0,5,1,1,0,0
372,Southern California Trojans,Los Angeles California,1907,2020,114,2854,1636,1218,.573,7.86,6.17,9,7,1,18,2,0
373,Southern Illinois Salukis,Carbondale Illinois,1968,2020,53,1573,876,697,.557,2.75,2.09,1,9,5,10,0,0
374,Southern Illinois-Edwardsville Cougars,Edwardsville Illinois,2011,2020,10,284,86,198,.303,-13.03,-4.32,0,0,0,0,0,0
375,Southern Jaguars,Baton Rouge Louisiana,1978,2020,43,1269,658,611,.519,-10.27,-9.92,0,8,9,9,0,0
376,Southern Methodist Mustangs,Dallas Texas,1917,2020,104,2592,1362,1230,.525,2.53,1.78,5,15,3,12,1,0
377,Southern Mississippi Golden Eagles,Hattiesburg Mississippi,1967,2020,49,1435,747,688,.521,0.68,1.86,1,2,0,3,0,0
378,Southern Utah Thunderbirds,Cedar City Utah,1989,2020,32,926,394,532,.425,-7.40,-3.67,0,2,3,1,0,0
379,Southwestern (KS) Moundbuilders,Winfield Kansas,1905,1923,19,289,212,77,.734,,,0,0,0,,,
380,Southwestern (TX) Pirates,Georgetown Texas,1915,1916,2,10,1,9,.100,,,0,0,0,,,
381,Springfield Pride,Springfield Massachusetts,1897,1935,30,406,268,138,.660,,,0,0,0,,,
382,St. Bonaventure Bonnies,St. Bonaventure New York,1920,2020,100,2423,1377,1046,.568,2.04,1.50,6,7,1,7,1,0
383,St. Francis (NY) Terriers,Brooklyn Heights New York,1902,2020,101,2531,1237,1294,.489,-11.62,-5.63,0,6,0,0,0,0
384,St. John's (NY) Red Storm,Queens New York,1908,2020,113,2953,1913,1040,.648,8.42,4.99,15,14,3,30,2,0
385,St. John's College (OH),Toledo Ohio,1921,1921,1,15,15,0,1.000,,,0,0,0,,,
386,St. Lawrence Saints,Canton New York,1902,1914,7,99,70,29,.707,,,0,0,0,,,
387,Stanford Cardinal,Stanford California,1914,2020,105,2713,1545,1168,.569,7.91,6.04,10,11,1,17,2,1
388,Stephen F. Austin Lumberjacks,Nacogdoches Texas,1987,2020,34,995,569,426,.572,-5.69,-6.61,0,8,5,5,0,0
389,Stetson Hatters,DeLand Florida,1972,2020,49,1397,633,764,.453,-8.31,-4.52,0,0,0,0,0,0
390,Stevens Institute Ducks,Hoboken New Jersey,1917,1920,4,48,37,11,.771,,,0,0,0,,,
391,Stony Brook Seawolves,Stony Brook New York,2000,2020,21,641,327,314,.510,-6.18,-5.39,0,4,1,1,0,0
392,SUNY-Potsdam Bears,Potsdam New York,1910,1913,2,32,22,10,.688,,,0,0,0,,,
393,Swarthmore Garnet,Swarthmore Pennsylvania,1906,1919,11,133,92,41,.692,,,0,0,0,,,
394,Syracuse Orange,Syracuse New York,1899,2020,120,2939,2021,917,.688,9.66,3.90,30,10,5,40,6,1
395,Temple Owls,Philadelphia Pennsylvania,1895,2020,124,3027,1937,1090,.640,6.42,2.58,9,20,10,33,2,0
396,Tennessee State Tigers,Nashville Tennessee,1978,2020,43,1227,525,702,.428,-8.56,-4.68,0,2,2,2,0,0
397,Tennessee Tech Golden Eagles,Cookeville Tennessee,1944,2020,66,1796,881,915,.491,-6.62,-3.62,0,7,1,2,0,0
398,Tennessee Volunteers,Knoxville Tennessee,1909,2020,111,2731,1669,1060,.612,8.43,5.15,13,13,4,22,0,0
399,Tennessee-Martin Skyhawks,Martin Tennessee,1993,2020,28,821,311,510,.379,-11.11,-4.06,0,1,0,0,0,0
400,Texas A&M Aggies,College Station Texas,1913,2020,108,2720,1435,1285,.528,2.40,2.46,4,12,2,14,0,0
401,Texas A&M-Corpus Christi Islanders,Corpus Christi Texas,2003,2020,18,550,283,267,.515,-6.15,-4.67,0,1,1,1,0,0
402,Texas Christian Horned Frogs,Fort Worth Texas,1914,2020,107,2646,1236,1410,.467,0.22,1.92,3,11,0,8,0,0
403,Texas Longhorns,Austin Texas,1906,2020,114,2897,1803,1094,.622,6.25,3.63,11,25,2,34,3,0
404,Texas Southern Tigers,Houston Texas,1978,2020,43,1275,633,642,.496,-10.49,-8.30,0,12,8,8,0,0
405,Texas State Bobcats,San Marcos Texas,1985,2020,36,1052,479,573,.455,-8.28,-5.51,0,3,2,2,0,0
406,Texas Tech Red Raiders,Lubbock Texas,1926,2020,92,2472,1388,1084,.561,4.34,2.58,6,13,5,17,1,0
407,Texas Wesleyan Rams,Fort Worth Texas,1948,1948,1,30,19,11,.633,,,0,0,0,0,0,0
408,Texas-Arlington Mavericks,Arlington Texas,1969,2020,52,1488,686,802,.461,-7.93,-4.46,0,3,1,1,0,0
409,Texas-El Paso Miners,El Paso Texas,1923,2020,92,2361,1348,1013,.571,2.76,0.72,4,11,5,17,1,1
410,Texas-Rio Grande Valley Vaqueros,Edinburg Texas,1969,2020,52,1461,626,835,.428,-8.35,-3.11,0,0,0,0,0,0
411,Texas-San Antonio Roadrunners,San Antonio Texas,1982,2020,39,1145,573,572,.500,-5.90,-4.50,0,3,4,4,0,0
412,Toledo Rockets,Toledo Ohio,1916,2020,105,2559,1465,1094,.572,0.85,-0.26,2,10,1,4,0,0
413,Towson Tigers,Towson Maryland,1980,2020,41,1211,509,702,.420,-7.83,-4.27,0,4,3,2,0,0
414,Trinity (CT) Bantams,Hartford Connecticut,1897,1911,8,81,28,53,.346,,,0,0,0,,,
415,Trinity (TX) Tigers,San Antonio Texas,1971,1973,3,70,25,45,.357,-24.37,-5.64,0,0,0,0,0,0
416,Troy Trojans,Troy Alabama,1994,2020,27,802,380,422,.474,-7.52,-5.03,0,6,2,2,0,0
417,Tulane Green Wave,New Orleans Louisiana,1906,2020,110,2539,1229,1310,.484,-1.17,1.16,1,6,0,3,0,0
418,Tulsa Golden Hurricane,Tulsa Oklahoma,1914,2020,107,2629,1465,1164,.557,5.09,3.18,5,10,6,16,0,0
419,U.S. International Gulls,San Diego California,1982,1991,10,279,69,210,.247,-18.06,-5.34,0,0,0,0,0,0
420,UC-Davis Aggies,Davis California,2008,2020,13,403,175,228,.434,-6.25,-2.45,0,2,1,1,0,0
421,UC-Irvine Anteaters,Irvine California,1978,2020,43,1292,640,652,.495,-1.41,0.25,0,6,2,2,0,0
422,UC-Riverside Highlanders,Riverside California,2002,2020,19,559,195,364,.349,-8.50,-2.08,0,0,0,0,0,0
423,UC-Santa Barbara Gauchos,Santa Barbara California,1964,2020,57,1610,854,756,.530,-0.35,-0.02,0,4,3,5,0,0
424,UCLA Bruins,Los Angeles California,1920,2020,101,2768,1902,866,.687,15.43,6.88,41,31,4,49,18,11
425,Union (NY) Dutchmen,Schenectady New York,1907,1925,19,266,162,104,.609,,,0,0,0,,,
426,University of California Golden Bears,Berkeley California,1908,2020,111,2824,1631,1193,.578,7.08,6.04,5,14,0,19,3,1
427,Utah State Aggies,Logan Utah,1904,2020,115,2748,1622,1126,.590,3.85,0.93,5,16,9,21,0,0
428,Utah Utes,Salt Lake City Utah,1909,2020,112,2844,1831,1013,.644,8.14,3.62,21,30,5,29,4,1
429,Utah Valley Wolverines,Orem Utah,2010,2020,11,343,182,161,.531,-6.37,-5.09,0,3,0,0,0,0
430,Utica Pioneers,Utica New York,1982,1987,6,158,64,94,.405,-12.95,-7.35,0,0,0,0,0,0
431,Valparaiso Crusaders,Valparaiso Indiana,1918,2020,85,2157,1141,1016,.529,-4.15,-1.57,0,14,10,9,0,0
432,Vanderbilt Commodores,Nashville Tennessee,1901,2020,118,2794,1615,1179,.578,8.27,4.91,11,3,3,15,0,0
433,Vermont Catamounts,Burlington Vermont,1921,2020,65,1768,942,826,.533,-10.12,-7.12,0,10,7,7,0,0
434,Villanova Wildcats,Villanova Pennsylvania,1921,2020,100,2736,1796,940,.656,10.23,5.66,23,12,7,39,6,3
435,Virginia Cavaliers,Charlottesville Virginia,1906,2020,115,2822,1647,1174,.584,6.82,5.51,13,10,3,23,3,1
436,Virginia Commonwealth Rams,Richmond Virginia,1974,2020,47,1439,934,505,.649,5.32,0.66,3,11,9,17,1,0
437,Virginia Military Institute Keydets,Lexington Virginia,1909,2020,112,2454,903,1551,.368,-12.99,-4.79,1,2,3,3,0,0
438,Virginia Tech Hokies,Blacksburg Virginia,1909,2020,112,2707,1478,1229,.546,3.81,1.48,2,2,1,11,0,0
439,Wabash Little Giants,Crawfordsville Indiana,1897,1925,29,407,301,106,.740,,,0,0,0,,,
440,Wagner Seahawks,Staten Island New York,1966,2020,48,1371,662,709,.483,-9.78,-7.36,0,3,1,1,0,0
441,Wake Forest Demon Deacons,Winston-Salem North Carolina,1906,2020,114,2795,1547,1248,.553,8.00,6.19,17,4,5,23,1,0
442,Washburn Ichabods,Topeka Kansas,1906,1941,35,557,270,283,.488,,,0,0,0,0,0,0
443,Washington & Jefferson Presidents,Washington Pennsylvania,1913,1944,10,128,73,55,.570,,,0,0,0,0,0,0
444,Washington & Lee Generals,Lexington Virginia,1907,1959,51,905,472,432,.522,-15.29,-5.66,0,3,2,0,0,0
445,Washington (MO) Bears,St. Louis Missouri,1905,1960,52,921,433,488,.470,-5.26,-1.82,0,2,0,0,0,0
446,Washington College Shoremen,Chestertown Maryland,1913,1925,13,151,109,42,.722,,,0,0,0,,,
447,Washington Huskies,Seattle Washington,1896,2020,119,3006,1809,1197,.602,7.51,6.01,8,12,3,17,1,0
448,Washington State Cougars,Pullman Washington,1902,2020,119,3143,1606,1537,.511,2.95,4.81,3,2,0,6,1,0
449,Wayne State (MI) Warriors,Detroit Michigan,1928,1950,5,104,47,57,.452,,,0,0,0,0,0,0
450,Weber State Wildcats,Ogden Utah,1964,2020,57,1670,1047,623,.627,0.22,-2.56,1,22,10,16,0,0
451,Wesleyan (CT) Cardinals,Middletown Connecticut,1896,1913,13,171,97,74,.567,,,0,0,0,,,
452,West Chester Golden Rams,West Chester Pennsylvania,1899,1982,10,244,86,158,.352,-17.60,-8.15,0,1,0,0,0,0
