Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
23,Augustana (IL) Vikings,Rock Island Illinois,1902,1917,12,116,81,35,.698,,,0,0,0,,,
24,Austin Peay Governors,Clarksville Tennessee,1964,2020,57,1630,819,811,.502,-5.44,-3.38,1,8,5,7,0,0
25,Baker University Wildcats,Baldwin City Kansas,1903,1908,6,90,62,28,.689,,,0,0,0,,,
26,Baldwin-Wallace Yellow Jackets,Berea Ohio,1948,1953,6,139,82,57,.590,-4.45,1.84,0,0,0,0,0,0
27,Ball State Cardinals,Muncie Indiana,1972,2020,49,1434,763,671,.532,-0.81,-0.69,1,10,7,7,0,0
28,Baltimore Super Bees,Baltimore Maryland,1979,1983,5,133,46,87,.346,-13.76,-6.45,0,0,0,0,0,0
29,Baylor Bears,Waco Texas,1907,2020,114,2745,1371,1374,.499,1.63,2.54,6,5,0,12,2,0
30,Belmont Bruins,Nashville Tennessee,2000,2020,21,658,431,227,.655,1.20,-3.48,0,11,7,8,0,0
31,Beloit Buccaneers,Beloit Wisconsin,1911,1924,8,95,66,28,.702,,,0,0,0,,,
32,Bethune-Cookman Wildcats,Daytona Beach Florida,1981,2020,40,1177,427,750,.363,-16.66,-9.91,0,2,0,0,0,0
33,Binghamton Bearcats,Binghamton New York,2002,2020,19,567,203,364,.358,-11.25,-5.49,0,1,1,1,0,0
34,Birmingham-Southern Panthers,Birmingham Alabama,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
35,Bloomsburg Huskies,Bloomsburg Pennsylvania,1896,1911,15,143,88,55,.615,,,0,0,0,,,
36,Boise State Broncos,Boise Idaho,1972,2020,49,1437,799,638,.556,0.26,-0.61,0,6,5,7,0,0
37,Boston College Eagles,Chestnut Hill Massachusetts,1946,2020,75,2105,1154,951,.548,3.14,3.14,8,6,2,18,0,0
38,Boston University Terriers,Boston Massachusetts,1916,2020,94,2155,1106,1049,.513,-6.75,-5.47,0,8,6,7,0,0
39,Bowling Green State Falcons,Bowling Green Ohio,1916,2020,105,2595,1404,1191,.541,-0.44,0.07,2,9,0,4,0,0
40,Bradley Braves,Peoria Illinois,1903,2020,116,2895,1684,1211,.582,4.69,2.96,12,7,3,9,2,0
41,Brigham Young College,Logan Utah,1908,1908,1,11,10,1,.909,,,0,0,0,,,
42,Brigham Young Cougars,Provo Utah,1903,2020,118,2948,1846,1102,.626,7.69,3.59,10,25,3,29,0,0
43,Brooklyn Bulldogs,Brooklyn New York,1934,1992,25,567,233,334,.411,-19.21,-9.62,0,0,0,0,0,0
44,Brown Bears,Providence Rhode Island,1901,2020,114,2591,1054,1537,.407,-10.85,-4.55,0,1,0,2,0,0
45,Bryant Bulldogs,Smithfield Rhode Island,2011,2020,10,300,107,193,.357,-11.09,-5.21,0,0,0,0,0,0
46,Bucknell Bison,Lewisburg Pennsylvania,1896,2020,125,2702,1458,1244,.540,-8.24,-6.82,0,18,8,8,0,0
47,Buffalo Bulls,Buffalo New York,1907,2020,51,1228,627,601,.511,-4.94,-2.34,1,5,4,4,0,0
48,Butler Bulldogs,Indianapolis Indiana,1897,2020,122,2765,1615,1150,.584,1.88,3.11,7,13,7,16,2,0
49,Cal Poly Mustangs,San Luis Obispo California,1995,2020,26,757,302,455,.399,-6.77,-1.71,0,1,1,1,0,0
50,Cal State Bakersfield Roadrunners,Bakersfield California,2011,2020,10,309,155,154,.502,-4.76,-3.00,0,1,1,1,0,0
51,Cal State Fullerton Titans,Fullerton California,1975,2020,46,1337,633,704,.473,-1.94,-0.28,0,2,3,3,0,0
52,Cal State Long Beach 49ers,Long Beach California,1970,2020,51,1519,822,697,.541,0.98,1.26,5,14,5,9,0,0
53,Cal State Los Angeles Golden Eagles,Los Angeles California,1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
54,Cal State Northridge Matadors,Northridge California,1991,2020,30,889,378,511,.425,-5.37,-1.84,0,3,2,2,0,0
55,California Baptist,Riverside California,2019,2020,2,53,32,21,.604,-2.14,-5.36,0,0,0,0,0,0
56,Campbell Fighting Camels,Buies Creek North Carolina,1978,2020,43,1235,514,721,.416,-12.62,-7.13,0,2,1,1,0,0
57,Canisius Golden Griffins,Buffalo New York,1904,2020,116,2596,1316,1280,.507,-3.69,-1.70,1,8,1,4,0,0
58,Carleton College Knights,Northfield Minnesota,1910,1934,25,360,280,80,.778,,,0,0,0,,,
59,Carnegie Mellon Tartans,Pittsburgh Pennsylvania,1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
60,Case Western Reserve Spartans,Cleveland Ohio,1898,1955,13,245,95,150,.388,-18.31,-2.68,0,0,0,0,0,0
61,Catholic Cardinals,Washington D.C.,1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
62,Centenary (LA) Gents,Shreveport Louisiana,1960,2011,52,1435,637,798,.444,-8.73,-3.96,1,1,1,0,0,0
63,Central Arkansas Bears,Conway Arkansas,2011,2020,10,297,90,207,.303,-14.31,-4.99,0,0,0,0,0,0
64,Central Connecticut State Blue Devils,New Britain Connecticut,1987,2020,34,985,393,592,.399,-12.78,-7.62,0,3,3,3,0,0
65,Central Florida Knights,Orlando Florida,1985,2020,36,1070,538,532,.503,-4.04,-2.64,0,1,4,5,0,0
66,Central Michigan Chippewas,Mount Pleasant Michigan,1974,2020,47,1346,601,745,.447,-3.79,-0.38,0,8,2,4,0,0
67,Central Missouri Mules,Warrensburg Missouri,1913,1937,10,178,140,38,.787,,,0,0,0,,,
68,Central Normal College,Danville Indiana,1931,1931,1,19,19,0,1.000,,,0,0,0,,,
69,Central Pennsylvania College Knights,Summerdale Pennsylvania,1896,1900,4,6,2,4,.333,,,0,0,0,,,
70,Centre (KY) Colonels,Danville Kentucky,1910,1919,3,45,41,4,.911,,,0,0,0,,,
71,Charleston Southern Buccaneers,Charleston South Carolina,1975,2020,46,1313,547,766,.417,-13.19,-7.16,0,4,4,1,0,0
72,Charlotte 49ers,Charlotte North Carolina,1973,2020,48,1420,779,641,.549,3.42,2.01,2,6,5,11,1,0
73,Chattanooga Mocs,Chattanooga Tennessee,1978,2020,43,1316,789,527,.600,-2.52,-3.61,1,19,11,11,0,0
74,Cheyenne Business College,Cheyenne Wyoming,1903,1903,1,1,1,0,1.000,,,0,0,0,,,
75,Chicago Maroons,Chicago Illinois,1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
76,Chicago State Cougars,Chicago Illinois,1985,2020,36,1046,273,773,.261,-15.44,-2.23,0,0,1,0,0,0
77,Cincinnati Bearcats,Cincinnati Ohio,1902,2020,119,2852,1829,1023,.641,11.69,5.01,25,24,12,33,6,2
78,Citadel Bulldogs,Charleston South Carolina,1913,2020,108,2384,1003,1381,.421,-13.04,-5.49,0,0,0,0,0,0
79,City College of New York Beavers,New York New York,1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
80,Clemson Tigers,Clemson South Carolina,1912,2020,109,2658,1342,1314,.505,5.38,4.20,6,1,1,12,0,0
81,Cleveland State Vikings,Cleveland Ohio,1973,2020,48,1403,691,712,.493,-3.47,-1.58,0,4,2,2,0,0
82,Coastal Carolina Chanticleers,Conway South Carolina,1987,2020,34,1014,516,498,.509,-8.11,-6.24,0,7,5,4,0,0
83,Colgate Raiders,Hamilton New York,1901,2020,120,2707,1299,1408,.480,-10.97,-5.69,0,4,3,3,0,0
84,College of Charleston Cougars,Charleston South Carolina,1992,2020,29,900,623,277,.692,1.18,-4.13,2,13,4,5,0,0
85,College of New Jersey Lions,Ewing New Jersey,1900,1900,1,5,3,2,.600,,,0,0,0,,,
86,Colorado Buffaloes,Boulder Colorado,1902,2020,117,2551,1334,1217,.523,5.13,5.92,5,19,1,14,2,0
87,Colorado College Tigers,Colorado Springs Colorado,1915,1937,23,376,233,143,.620,,,0,7,0,,,
88,Colorado School of Mines Orediggers,Golden Colorado,1908,1937,28,282,80,202,.284,,,0,2,0,,,
89,Colorado State Rams,Fort Collins Colorado,1902,2020,116,2563,1283,1280,.501,2.72,2.37,0,6,1,10,0,0
90,Columbia Lions,New York New York,1901,2020,120,2638,1308,1330,.496,-7.68,-5.19,2,13,0,3,0,0
91,Concordia Seminary Preachers,St. Louis Missouri,1907,1923,2,16,14,2,.875,,,0,0,0,,,
92,Connecticut Huskies,Storrs Connecticut,1901,2020,114,2634,1667,967,.633,6.37,0.94,16,27,8,32,5,4
93,Coppin State Eagles,Baltimore Maryland,1986,2020,35,1056,484,572,.458,-10.82,-8.16,0,10,4,4,0,0
94,Cornell Big Red,Ithaca New York,1899,2020,122,2720,1266,1454,.465,-7.82,-4.51,0,8,0,5,0,0
95,Cotner University,Lincoln Nebraska,1910,1911,2,27,24,3,.889,,,0,0,0,,,
96,Creighton Bluejays,Omaha Nebraska,1912,2020,100,2605,1579,1026,.606,3.71,3.35,4,15,12,21,0,0
97,Cumberland University Bulldogs,Lebanon Tennessee,1904,1904,1,4,4,0,1.000,,,0,0,0,,,
98,Dakota Wesleyan Tigers,Mitchell South Dakota,1932,1932,1,20,19,1,.950,,,0,0,0,,,
99,Dartmouth Big Green,Hanover New Hampshire,1900,2020,120,2851,1314,1535,.461,-10.85,-5.14,0,12,0,7,2,0
100,Davidson Wildcats,Davidson North Carolina,1909,2020,111,2700,1472,1228,.545,-2.99,-2.97,6,24,13,14,0,0
101,Dayton Flyers,Dayton Ohio,1904,2020,115,2785,1665,1120,.598,6.98,3.18,7,5,2,18,1,0
102,Delaware Fightin' Blue Hens,Newark Delaware,1906,2020,79,1912,947,964,.496,-8.54,-5.99,0,4,5,5,0,0
103,Delaware State Hornets,Dover Delaware,1974,2020,47,1349,533,816,.395,-16.65,-10.19,0,3,1,1,0,0
104,Denison Big Red,Granville Ohio,1905,1944,24,362,269,93,.743,,,0,0,0,0,0,0
105,Denver Pioneers,Denver Colorado,1904,2020,97,2098,946,1152,.451,-3.83,-0.62,0,4,0,0,0,0
106,DePaul Blue Demons,Chicago Illinois,1924,2020,97,2514,1480,1034,.589,6.19,5.85,12,2,0,22,2,0
107,DePauw Tigers,Greencastle Indiana,1916,1932,17,276,182,94,.659,,,0,0,0,,,
108,Detroit Mercy Titans,Detroit Michigan,1910,2020,111,2672,1422,1250,.532,0.10,1.10,2,2,3,6,0,0
109,Dickinson College Red Devils,Carlisle Pennsylvania,1926,1947,2,34,30,4,.882,,,0,0,0,0,0,0
110,Drake Bulldogs,Des Moines Iowa,1907,2020,114,2747,1259,1488,.458,0.97,2.95,5,9,1,4,1,0
111,Drexel Dragons,Philadelphia Pennsylvania,1895,2020,50,1377,756,621,.549,-3.52,-4.48,0,7,4,4,0,0
112,Duke Blue Devils,Durham North Carolina,1906,2020,115,3085,2195,890,.712,16.27,6.66,48,22,26,43,16,5
113,Duquesne Dukes,Pittsburgh Pennsylvania,1914,2020,104,2548,1419,1129,.557,2.08,1.96,7,2,1,5,1,0
114,East Carolina Pirates,Greenville North Carolina,1967,2020,54,1535,673,862,.438,-4.80,-1.21,0,0,2,2,0,0
115,East Central Tigers,Ada Oklahoma,1929,1931,3,74,66,8,.892,,,0,0,0,,,
116,East Tennessee State Buccaneers,Johnson City Tennessee,1959,2020,62,1766,967,799,.548,-4.10,-3.47,1,10,9,10,0,0
117,Eastern Illinois Panthers,Charleston Illinois,1982,2020,39,1137,523,614,.460,-7.32,-4.32,0,0,3,2,0,0
118,Eastern Kentucky Colonels,Richmond Kentucky,1948,2020,70,1876,917,959,.489,-4.77,-2.66,0,7,5,8,0,0
119,Eastern Michigan Eagles,Ypsilanti Michigan,1933,2020,48,1410,671,739,.476,-3.03,-0.25,0,5,4,4,0,0
120,Eastern Washington Eagles,Cheney Washington,1984,2020,37,1073,464,609,.432,-6.21,-2.19,0,3,2,2,0,0
121,Elon Phoenix,Elon North Carolina,2000,2020,21,641,272,369,.424,-8.53,-3.66,0,2,0,0,0,0
122,Emporia State Hornets,Emporia Kansas,1934,1934,1,18,17,1,.944,,,0,0,0,,,
123,Evansville Purple Aces,Evansville Indiana,1925,2020,47,1329,716,613,.539,1.27,1.00,0,6,4,5,0,0
124,Fairfield Stags,Fairfield Connecticut,1965,2020,56,1594,776,818,.487,-4.34,-2.95,0,3,3,3,0,0
125,Fairleigh Dickinson Knights,Teaneck New Jersey,1968,2020,53,1485,712,773,.479,-10.01,-6.92,0,6,6,6,0,0
126,Florida A&M Rattlers,Tallahassee Florida,1980,2020,41,1205,461,744,.383,-15.80,-8.94,0,0,4,3,0,0
