school_full_name,common_name,team,city,state,type,conference
1000 Asu Dr,Alcorn State,Braves,Lorman,Mississippi,State,Southwestern Athletic Conference
6000 J St,,Sacramento State,Hornets,Sacramento,California,State
1601 S Martin Luther King Jr Blvd,Florida A&M,Rattlers,Tallahassee,Florida,State,Mid-Eastern Athletic Conference
10501 FGCU Blvd S,FGCU,Eagles,Fort Myers,Florida,State,Atlantic Sun Conference
3210 Kennesaw State University Road,Kennesaw State,Owls,Kennesaw,Georgia,State,Atlantic Sun Conference
4513 Manhattan College Pkwy,Manhattan,Jaspers,Riverdale,New York,Private/Catholic,Metro Atlantic Athletic Conference
11868 College Backbone Rd,Maryland Eastern Shore,Hawks,Princess Anne,Maryland,State,Mid-Eastern Athletic Conference
606 Thayer Rd,Army,Black Knights,West Point,New York,Federal academy,Patriot League
