2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
"at San Jose, CA","at Boise, ID","at Buffalo, NY","at Denver, CO","at Jacksonville, FL","at Spokane, WA","at Auburn Hills, MI","at Albuquerque, NM","at Tulsa, OK","at San Jose, CA","at Portland, OR","at Tampa, FL","at Buffalo, NY","at San Diego, CA","at Cleveland, OH","at Denver, CO","at Indianapolis, IN","at Albuquerque, NM","at San Diego, CA","at Salt Lake City, UT","at Denver, CO","at Sacramento, CA","at Salt Lake City, UT","at Albuquerque, NM","at Boise, ID","at Ogden, UT","at Tucson, AZ","at Tempe, AZ","at Tucson, AZ","at Salt Lake City, UT","at Boise, ID","at Los Angeles, CA","at Salt Lake City, UT","at Long Beach, CA","at Salt Lake City, UT"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Villanova,Miami (FL),Maryland,Seton Hall,Xavier,Baylor,UCLA,Cincinnati,Cincinnati,Xavier,Marquette,Purdue,Notre Dame,Michigan State,LSU,Vanderbilt,Creighton,Gonzaga,Wisconsin,Purdue,Florida,Arkansas,Stanford,Iowa,Oregon,Minnesota,Illinois,Georgetown,New Mexico State,New Mexico State,Oregon State,Florida,Oklahoma,Alabama-Birmingham,Tulsa
61,62,65,52,76,74,63,65,78,65,58,90,64,65,68,71,73,66,49,62,75,74,80,81,73,74,75,75,56,92,90,62,74,66,75
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Saint Mary's,Loyola (IL),Xavier,Gonzaga,Ole Miss,Nebraska,Minnesota,Texas,Missouri,Minnesota,Utah State,Baylor,Winthrop,George Mason,Alabama-Birmingham,Western Michigan,Central Michigan,Wyoming,Georgia State,Dayton,Penn,Nebraska,Oklahoma,George Washington,Texas,Southern Illinois,Long Beach State,South Florida,Creighton,Loyola Marymount,Evansville,St. John's (NY),Tulsa,Missouri,UTEP
57,64,76,68,57,60,83,59,63,54,57,79,74,75,82,58,79,73,50,61,61,65,67,79,90,60,72,60,64,111,94,59,69,64,79
"at Hartford, CT","at Dallas, TX","at Orlando, FL","at Denver, CO","at Jacksonville, FL","at San Antonio, TX","at Austin, TX","at Nashville, TN","at Washington, DC","at Milwaukee, WI","at Boise, ID","at Washington, DC","at Spokane, WA","at Dayton, OH","at Boise, ID","at Denver, CO","at Salt Lake City, UT","at Albuquerque, NM","at Boise, ID","at Tucson, AZ","at Seattle, WA","at Boise, ID","at Tucson, AZ","at Tempe, AZ","at Salt Lake City, UT","at Sacramento, CA","at Salt Lake City, UT","at Boise, ID","at Salt Lake City, UT","at Long Beach, CA","at Tucson, AZ","at Salt Lake City, UT","at Tucson, AZ","at Ogden, UT","at Albuquerque, NM"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Purdue,Tennessee,Florida State,Utah,Baylor,Creighton,Florida,Florida State,UConn,Pitt,Missouri,Xavier,Oregon,UNC,Arizona,NC State,Duke,Arizona,Maryland,Oklahoma,UNC,Utah,Wake Forest,Arizona,Maryland,Louisville,Vanderbilt,Florida State,Seton Hall,Michigan,Seton Hall,Michigan,Pitt,UNC,NC State
61,73,86,80,56,76,79,66,81,89,78,73,58,69,66,61,67,86,83,74,74,85,68,90,87,67,92,78,71,76,60,63,93,84,65
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Old Dominion,Wright State,Florida Gulf Coast,Fresno State,Georgia State,Louisiana,Northwestern State,St. Bonaventure,Bucknell,Oakland,Cornell,Georgia,Miami (OH),Murray State,Utah State,Louisiana,Colorado State,UCSB,George Mason,Winthrop,Weber State,San Francisco,Saint Mary's,Valparaiso,Gonzaga,Boise State,Boise State,Montana,Pepperdine,Illinois State,Missouri State,Boise State,Marist,Utah,Nevada
48,47,80,69,57,66,47,63,52,66,59,61,56,65,53,52,57,81,80,50,76,68,46,51,63,58,72,68,51,70,51,58,68,72,56
"at Hartford, CT","at Dallas, TX","at Orlando, FL","at Denver, CO","at Jacksonville, FL","at San Antonio, TX","at Austin, TX","at Nashville, TN","at Washington, DC","at Milwaukee, WI","at Boise, ID","at Washington, DC","at Spokane, WA","at Dayton, OH","at Boise, ID","at Orlando, FL","at Salt Lake City, UT","at Albuquerque, NM","at Boise, ID","at Tucson, AZ","at Seattle, WA","at Boise, ID","at Tucson, AZ","at Tempe, AZ","at Salt Lake City, UT","at Sacramento, CA","at Salt Lake City, UT","at Boise, ID","at Salt Lake City, UT","at Long Beach, CA","at Tucson, AZ","at Salt Lake City, UT","at Tucson, AZ","at Ogden, UT","at Albuquerque, NM"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cincinnati,Nevada,Saint Mary's,Dayton,VCU,Oregon,San Diego State,Gonzaga,Temple,BYU,California,West Virginia,UNLV,Wichita State,Southern Illinois,DePaul,Memphis,Xavier,Arkansas,Louisville,Minnesota,Temple,Charlotte,Maryland,Cincinnati,Virginia,Temple,LSU,Virginia,Alabama,UTEP,Wyoming,UTEP,Bradley,Alabama
72,87,85,51,72,87,70,77,66,99,71,75,67,86,65,76,71,70,61,66,63,52,79,79,77,57,75,94,48,71,85,115,98,83,50
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Iowa,Texas,VCU,Syracuse,Ohio State,BYU,Oklahoma,West Virginia,Penn State,Florida,Maryland,Arizona,Georgia Tech,Seton Hall,Saint Mary's,Dayton,Arizona State,Hawaii,Georgetown,Gonzaga,Gonzaga,West Virginia,Georgetown,Santa Clara,Temple,New Mexico,Missouri,BYU,BYU,Colorado State,LSU,Loyola Marymount,Arizona,UTEP,Arizona
79,83,77,70,75,68,55,54,64,92,84,65,63,66,56,69,84,58,63,77,75,82,67,91,71,54,61,83,61,54,74,119,91,65,41
"at Columbus, OH","at Nashville, TN","at Salt Lake City, UT","at St. Louis, MO","at Portland, OR","at Milwaukee, WI","at Philadelphia, PA","at Pittsburgh, PA","at Tucson, AZ","at Oklahoma City, OK","at Kansas City, MO","at Washington, DC","at Chicago, IL","at Greensboro, NC","at Oklahoma City, OK","at Buffalo, NY","at Oklahoma City, OK","at Dallas, TX","at Boise, ID","at Tucson, AZ","at Seattle, WA","at Boise, ID","at Tucson, AZ","at Tempe, AZ","at Salt Lake City, UT","at Sacramento, CA","at Salt Lake City, UT","at Boise, ID","at Salt Lake City, UT","at Long Beach, CA","at Tucson, AZ","at Salt Lake City, UT","at Tucson, AZ","at Ogden, UT","at Albuquerque, NM"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tennessee,Cincinnati,Arizona,Michigan State,Arizona,Wisconsin,Georgetown,Ohio State,San Diego State,Kansas State,Memphis,Duke,Wisconsin,Tennessee,Oklahoma State,UConn,Kansas,Oklahoma,Iowa State,St. John's (NY),Stanford,Cincinnati,Utah,Kansas,UConn,Arizona,Arizona,Indiana,Arizona,Arizona,Indiana,UNC,Iowa,Louisville,VCU
77,68,100,81,93,75,68,78,68,82,81,71,76,63,63,70,64,71,57,61,69,65,75,92,100,81,61,94,93,79,99,83,99,93,81
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Colgate,Georgia State,North Dakota,Middle Tennessee,Texas Southern,American,Florida Gulf Coast,Loyola (MD),Northern Colorado,North Texas,Cal State Northridge,Belmont,Texas A&M-Corpus Christi,Winthrop,Southeastern Louisiana,Vermont,Utah State,UIC,Hampton,Northern Arizona,Alcorn State,Northern Arizona,Navy,South Carolina State,Chattanooga,Loyola (MD),Santa Clara,Eastern Illinois,Saint Francis (PA),South Florida,George Mason,North Texas,Santa Clara,Drexel,Marshall
70,53,82,90,72,35,78,59,50,62,70,70,63,61,50,53,61,63,58,56,57,62,61,54,71,55,64,55,80,67,85,65,76,73,65
