2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
Virginia Tech,Wichita State,Florida,Kentucky,Louisville,Louisville,Syracuse,Michigan,Kentucky,Purdue,Vanderbilt,Washington State,Southern Illinois,Boston College,Florida,Kansas,Stanford,Kentucky,Kansas,Illinois,Tennessee,Michigan State,Villanova,Marquette,Oklahoma State,Temple,Arkansas,Seton Hall,UCLA,La Salle,Iowa,Indiana,TCU,Oklahoma,Loyola (IL)
66,75,80,85,57,71,81,60,59,72,65,71,61,88,67,78,77,83,99,68,62,83,101,68,73,61,94,78,69,79,87,69,76,80,59
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Saint Louis,Marshall,ETSU,Stony Brook,UC-Irvine,Manhattan,Montana,Ohio,Princeton,Siena,Murray State,Winthrop,Holy Cross,Pacific,Ohio,UIC,San Diego,Valparaiso,Cal State Northridge,Penn,Delaware,Eastern Michigan,LIU,Monmouth,Drexel,Drexel,Holy Cross,La Salle,Penn State,Southern Miss,Rutgers,Richmond,Marshall,Northeastern,Iona
52,81,65,57,55,64,34,65,57,64,66,40,51,76,62,53,69,68,75,58,52,71,91,44,49,39,64,76,74,63,73,72,60,74,58
"at San Jose, CA","at San Diego, CA","at Orlando, FL","at Des Moines, IA","at Seattle, WA","at Orlando, FL","at San Jose, CA","at Nashville, TN","at Tampa, FL","at Spokane, WA","at San Jose, CA","at Denver, CO","at Columbus, OH","at Salt Lake City, UT","at Nashville, TN","at Kansas City, MO","at Spokane, WA","at St. Louis, MO","at Dayton, OH","at Winston-Salem, NC","at Charlotte, NC","at Hartford, CT","at Winston-Salem, NC","at Providence, RI","at Baltimore, MD","at Landover, MD","at Winston-Salem, NC","at Greensboro, NC","at Syracuse, NY","at Hartford, CT","at Providence, RI","at Hartford, CT","at Charlotte, NC","at Greensboro, NC","at Hartford, CT"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Maryland,Florida,SMU,Notre Dame,Providence,UMass,Butler,San Diego State,Xavier,Notre Dame,Xavier,Oklahoma,Duke,Oklahoma,Wisconsin,Boston College,Maryland,Texas Tech,Notre Dame,Indiana,Temple,Xavier,Louisville,UNC,Tulsa,Nebraska,Virginia,Syracuse,NC State,St. John's (NY),Kansas State,Missouri,Florida,St. Joseph's,Georgia
79,77,65,70,53,67,68,65,55,50,65,72,77,74,57,58,75,68,83,57,61,68,65,83,68,80,78,51,114,81,75,80,82,60,67
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Belmont,St. Bonaventure,USC,Michigan,Dayton,Tennessee,Bucknell,NC State,Marquette,Old Dominion,Minnesota,St. Joseph's,VCU,Milwaukee,Northern Iowa,Utah,UNC Wilmington,Southern Illinois,Xavier,Pepperdine,Kent State,Washington,UMass,New Orleans,Illinois,Penn,Manhattan,Princeton,Southern Miss,Temple,Minnesota,Rhode Island,NC State,Richmond,Wichita State
77,62,66,63,66,86,56,79,66,51,54,64,79,82,52,51,73,76,71,77,54,69,57,62,62,90,66,43,85,65,86,87,70,59,59
"at Jacksonville, FL","at Dallas, TX","at Tulsa, OK","at Brooklyn, NY","at Columbus, OH","at Raleigh, NC","at Lexington, KY","at Columbus, OH","at Cleveland, OH","at New Orleans, LA","at Milwaukee, WI","at Birmingham, AL","at Buffalo, NY","at Jacksonville, FL","at Oklahoma City, OK","at Milwaukee, WI","at Nashville, TN","at Chicago, IL","at Kansas City, MO","at Buffalo, NY","at Boston, MA","at Washington, DC","at Pittsburgh, PA","at Richmond, VA","at Albany, NY","at Uniondale, NY","at Syracuse, NY","at Worcester, MA","at College Park, MD","at Atlanta, GA","at Greensboro, NC","at Chapel Hill, NC","at Syracuse, NY","at Syracuse, NY","at Atlanta, GA"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
LSU,Texas Tech,Baylor,West Virginia,Oklahoma,Duke,Marquette,Georgetown,Syracuse,Baylor,Pitt,Louisville,Pitt,Florida,Kansas,Georgia Tech,Xavier,Georgia,Ole Miss,Oklahoma State,Cincinnati,South Carolina,New Mexico,Texas Tech,Villanova,Florida,UMass,UMass,Oklahoma State,Duke,Stanford,Syracuse,Purdue,Indiana,Illinois
79,70,91,56,69,71,59,74,77,68,89,79,79,76,63,65,71,85,72,86,72,61,59,74,81,64,54,85,67,81,78,69,104,79,76
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Yale,Stephen F. Austin,New Mexico State,Stephen F. Austin,Albany (NY),Mercer,Davidson,Belmont,Indiana State,Sam Houston State,Oakland,Boise State,Wright State,South Alabama,Bucknell,Northern Iowa,Troy,Murray State,Iona,Hofstra,George Mason,Richmond,Old Dominion,Northern Illinois,Old Dominion,James Madison,Penn,Fordham,New Mexico,Richmond,Siena,North Carolina A&T,Northeastern,Cleveland State,Northeastern
74,60,73,70,60,78,58,59,60,59,66,61,58,50,64,60,59,68,70,66,48,62,55,73,89,62,50,58,54,46,80,55,95,83,57
"at Jacksonville, FL","at Dallas, TX","at Tulsa, OK","at Brooklyn, NY","at Columbus, OH","at Raleigh, NC","at Lexington, KY","at Columbus, OH","at Cleveland, OH","at New Orleans, LA","at Milwaukee, WI","at Birmingham, AL","at Buffalo, NY","at Jacksonville, FL","at Oklahoma City, OK","at Milwaukee, WI","at Nashville, TN","at Chicago, IL","at Kansas City, MO","at Buffalo, NY","at Boston, MA","at Washington, DC","at Pittsburgh, PA","at Richmond, VA","at Albany, NY","at Uniondale, NY","at Syracuse, NY","at Worcester, MA","at College Park, MD","at Atlanta, GA","at Greensboro, NC","at Chapel Hill, NC","at Syracuse, NY","at Syracuse, NY","at Atlanta, GA"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Louisville,Arkansas,South Carolina,Wisconsin,Michigan State,Texas,Illinois,Saint Mary's,Washington,Richmond,BYU,Butler,Indiana,Georgetown,Charlotte,Michigan State,Michigan State,NC State,Wake Forest,Oregon,Texas,Indiana,Wisconsin,New Mexico,Charlotte,Alabama-Birmingham,New Mexico State,Charlotte,Purdue,UCLA,West Virginia,SMU,West Virginia,Navy,Syracuse
76,62,93,47,70,87,57,69,68,71,99,81,70,54,63,66,79,69,63,71,54,94,58,69,68,46,93,74,63,68,84,83,62,87,70
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Minnesota,Butler,Marquette,Pitt,Georgia,Arizona State,Colorado,Purdue,Georgia,Saint Mary's,Florida,South Alabama,Gonzaga,Northern Iowa,NC State,Nevada,Colorado,Michigan State,Butler,Seton Hall,Purdue,Oklahoma,Texas,Kansas State,Stanford,George Washington,Nebraska,Iowa State,Temple,Alabama-Birmingham,Tennessee,Notre Dame,Western Kentucky,Tulsa,DePaul
86,79,73,43,63,85,49,72,65,80,92,61,57,49,75,72,64,58,79,72,58,87,71,48,70,51,79,76,80,56,68,75,64,68,65
"at Des Moines, IA","at Detroit, MI","at Greenville, SC","at St. Louis, MO","at Charlotte, NC","at Milwaukee, WI","at Austin, TX","at Omaha, NE","at Charlotte, NC","at Providence, RI","at Oklahoma City, OK","at Birmingham, AL","at Sacramento, CA","at Dayton, OH","at Worcester, MA","at Seattle, WA","at Tampa, FL","at Washington, DC","at Kansas City, MO","at Buffalo, NY","at Boston, MA","at Washington, DC","at Pittsburgh, PA","at Richmond, VA","at Albany, NY","at Uniondale, NY","at Syracuse, NY","at Worcester, MA","at College Park, MD","at Atlanta, GA","at Greensboro, NC","at Chapel Hill, NC","at Syracuse, NY","at Syracuse, NY","at Atlanta, GA"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Michigan State,Purdue,Duke,Xavier,Virginia,Michigan,Miami (FL),Kansas,UNC,Villanova,Kansas State,Tennessee,UCLA,Ohio State,UConn,Gonzaga,Florida,UConn,Arizona,Temple,Miami (FL),UConn,South Carolina,Georgetown,UMass,UConn,Cincinnati,Kentucky,Syracuse,Kansas,Duke,Duke,Syracuse,Syracuse,Georgia Tech
76,74,87,71,79,57,78,65,102,73,82,72,70,70,77,76,85,78,101,73,75,93,65,93,68,64,93,88,69,79,90,85,79,101,65
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Bradley,Cal State Fullerton,Troy,Weber State,Belmont,Wofford,Pacific,Detroit,LIU,Robert Morris,North Texas,American,Weber State,Davidson,UCF,Valparaiso,Sam Houston State,Hampton,Eastern Illinois,Lafayette,Lafayette,Fairleigh Dickinson,Coppin State,Mississippi Valley State,St. Peter's,Rider,Coppin State,Old Dominion,Richmond,Robert Morris,South Carolina State,Boston University,Georgia Southern,Brown,Mercer
65,48,65,53,67,40,49,50,87,70,62,57,42,62,71,49,55,67,76,47,54,85,78,56,51,46,66,69,73,71,69,69,73,52,58
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gonzaga,Kansas,Kansas,Kansas,Kentucky,Florida,Louisville,Kentucky,Pitt,Kentucky,Pitt,Kansas,UNC,Duke,Washington,Duke,Oklahoma,Kansas,Duke,Michigan State,Michigan State,Kansas,Minnesota,Kentucky,Kansas,Arkansas,Indiana,Kansas,Ohio State,Oklahoma,Illinois,Purdue,Indiana,Kansas,Oklahoma
87,76,100,105,79,67,79,81,74,100,72,85,86,70,88,96,71,70,95,65,76,110,78,110,82,94,97,100,97,77,77,94,92,71,96
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
