seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lng,lat,geometry,distance
2.0,Xavier,"St. Louis, MO",2016.0,201652,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference,Xavier University Cincinnati Ohio,-84.47083471474069,39.1513078,POINT (-84.47083471474069 39.1513078),312.1146533
2.0,Villanova,"Brooklyn, NY",2016.0,201653,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575,POINT (-75.3401787 40.03575),84.64315762
2.0,Oklahoma,"Oklahoma City, OK",2016.0,201654,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599857,35.1959878,POINT (-97.44570827599857 35.1959878),19.55454537
2.0,Michigan State,"St. Louis, MO",2016.0,201655,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.71856800000001,POINT (-84.47791570930522 42.71856800000001),412.22373511
3.0,West Virginia,"Brooklyn, NY",2016.0,201656,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference,WVU Morgantown West Virginia,-79.98142972909102,39.64931395,POINT (-79.98142972909102 39.64931395),325.90287579
3.0,Miami (FL),"Providence, RI",2016.0,201657,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788,POINT (-80.27869157646253 25.7172788),1222.12491022
3.0,Texas A&M,"Oklahoma City, OK",2016.0,201658,Texas A&M University,Aggies,College Station,Texas,State,Southeastern Conference,"Texas A & M, College Station Texas",-96.24359931287478,30.551816100000003,POINT (-96.24359931287478 30.5518161),347.92426402999996
3.0,Utah,"Denver, CO",2016.0,201659,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference,University of Utah Salt Lake City Utah,-111.8368719136826,40.7628137,POINT (-111.8368719136826 40.7628137),368.08153927
4.0,Kentucky,"Des Moines, IA",2016.0,201660,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.02703575,POINT (-84.50481984038481 38.02703575),541.69259667
4.0,California,"Spokane, WA",2016.0,201661,"University of California, Berkeley",Golden Bears,Berkeley,California,State,Pac-12 Conference,"University of California, Berkeley Berkeley California",-122.26639872292525,37.87094645,POINT (-122.2663987229252 37.87094645),719.11887201
4.0,Duke,"Providence, RI",2016.0,201662,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999,POINT (-78.94422972195878 36.00015569999999),570.39993687
4.0,Iowa State,"Denver, CO",2016.0,201663,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737448,42.02791015,POINT (-93.64464414737448 42.02791015),612.60345519
1.0,Villanova,"Pittsburgh, PA",2015.0,201564,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575,POINT (-75.3401787 40.03575),246.82098862
1.0,Kentucky,"Louisville, KY",2015.0,201565,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.02703575,POINT (-84.50481984038481 38.02703575),69.96016089
1.0,Duke,"Charlotte, NC",2015.0,201566,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999,POINT (-78.94422972195878 36.00015569999999),119.28459087
1.0,Wisconsin,"Omaha, NE",2015.0,201567,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.070525700000005,POINT (-89.40593869999999 43.0705257),357.07705885999997
2.0,Virginia,"Charlotte, NC",2015.0,201568,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,University of Virginia Charlottesville Virginia,-78.5054996018357,38.0410576,POINT (-78.50549960183569 38.0410576),233.64792341999998
2.0,Kansas,"Omaha, NE",2015.0,201569,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058,POINT (-95.24775030000001 38.958058),163.09746008000002
2.0,Gonzaga,"Seattle, WA",2015.0,201570,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396807,47.66673855000001,POINT (-117.4030438539681 47.66673855000001),229.39774578
2.0,Arizona,"Portland, OR",2015.0,201571,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495,POINT (-110.9768841153795 32.22877495),1110.61988427
3.0,Oklahoma,"Columbus, OH",2015.0,201572,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599857,35.1959878,POINT (-97.44570827599857 35.1959878),855.47873796
3.0,Notre Dame,"Pittsburgh, PA",2015.0,201573,University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference,University of Notre Dame South Bend Indiana,-86.23822026017265,41.70456775,POINT (-86.23822026017265 41.70456775),336.85764652
3.0,Iowa State,"Louisville, KY",2015.0,201574,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737448,42.02791015,POINT (-93.64464414737448 42.02791015),491.05707387999996
3.0,Baylor,"Jacksonville, FL",2015.0,201575,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,Baylor University Waco Texas,-97.1102905567766,31.55043405,POINT (-97.1102905567766 31.55043405),918.9455719000001
4.0,Louisville,"Seattle, WA",2015.0,201576,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565,POINT (-85.75725134140214 38.2167565),1940.0445361999998
4.0,Maryland,"Columbus, OH",2015.0,201577,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference,"University of Maryland, College Park College Park Maryland",-76.94610290199051,38.99203005,POINT (-76.94610290199051 38.99203005),329.71809373
4.0,Georgetown,"Portland, OR",2015.0,201578,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925,POINT (-77.07457962060826 38.90893925),2345.15357336
4.0,North Carolina,"Jacksonville, FL",2015.0,201579,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525106,35.90503535,POINT (-79.04775326525106 35.90503535),413.51618679
1.0,Wichita State,"St. Louis, MO",2014.0,201480,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference,Wichita State University Wichita Kansas,-97.2933776,37.71918,POINT (-97.2933776 37.71918),388.28852419
1.0,Florida,"Orlando, FL",2014.0,201481,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784,POINT (-82.34901330482433 29.6328784),95.4425856
1.0,Virginia,"Raleigh, NC",2014.0,201482,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,University of Virginia Charlottesville Virginia,-78.5054996018357,38.0410576,POINT (-78.50549960183569 38.0410576),156.36801215
1.0,Arizona,"San Diego, CA",2014.0,201483,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495,POINT (-110.9768841153795 32.22877495),362.09773654
2.0,Michigan,"Milwaukee, WI",2014.0,201484,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509602,42.294214200000006,POINT (-83.71003893509602 42.29421420000001),220.0274711
2.0,Kansas,"St. Louis, MO",2014.0,201485,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058,POINT (-95.24775030000001 38.958058),270.3585221
2.0,Villanova,"Buffalo, NY",2014.0,201486,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575,POINT (-75.3401787 40.03575),268.96043735
2.0,Wisconsin,"Milwaukee, WI",2014.0,201487,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.070525700000005,POINT (-89.40593869999999 43.0705257),74.9373426
3.0,Duke,"Raleigh, NC",2014.0,201488,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999,POINT (-78.94422972195878 36.00015569999999),22.85402538
