school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Saint Louis,Saint Louis University,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference,Saint Louis University St. Louis Missouri,-90.23167733181542,38.6352837,Saint Louis,1.0,1717.82983918,,1717.82983918,1717.82983918,1717.82983918,1717.82983918,1717.82983918,1.0,429.457459795,,429.457459795,429.457459795,429.457459795,429.457459795,429.457459795
Maryland,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference,"University of Maryland, College Park College Park Maryland",-76.94610290199051,38.99203005,Maryland,11.0,1132.676295239091,862.8864721394331,8.28908914,308.53555633999997,932.29262098,1943.74169365,2374.85510716,11.0,428.0617757965909,347.58694090206217,8.28908914,77.13388908499999,466.14631049,583.8510655924999,1021.493534885
Creighton,Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference,Creighton University Omaha Nebraska,-95.94506420758655,41.26611060000001,Creighton,1.0,830.5866157,,830.5866157,830.5866157,830.5866157,830.5866157,830.5866157,1.0,415.29330785,,415.29330785,415.29330785,415.29330785,415.29330785,415.29330785
Minnesota,University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,Big Ten Conference,University of Minnesota St. Paul Minnesota,-93.17945580218505,44.9863392,Minnesota,1.0,412.9631666,,412.9631666,412.9631666,412.9631666,412.9631666,412.9631666,1.0,412.9631666,,412.9631666,412.9631666,412.9631666,412.9631666,412.9631666
UCLA,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,University of California Los Angeles California,-118.44667592924029,34.0709515,UCLA,12.0,910.8439296783334,889.3944547019489,34.73463889999999,295.906190765,480.90387174,1857.4814180025,2341.325928,12.0,405.0252815272918,405.65558188902276,29.822701145,132.131824651875,321.239486435,554.311476609375,1486.2899168775
Wake Forest,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference,Wake Forest University Winston-Salem North Carolina,-80.2781152,36.134335,Wake Forest,6.0,623.9766157266668,592.9430497571776,94.87092428,316.82619890750004,479.31626883499996,614.71611659,1767.84399097,6.0,398.75655430333336,284.97518001967876,23.71773107,287.12311167999997,365.51450032624996,461.0370874424999,883.921995485
Indiana,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference,Indiana University Bloomington Indiana,-86.51623218881414,39.17798065,Indiana,10.0,829.683142266,762.8987143169322,45.03697008,89.393538915,674.5976398600001,1532.2154474874997,1880.62904118,10.0,393.21770499024996,417.4122619498951,45.03697008,75.190162925625,243.87102979750006,462.752459759375,1170.0571272749996
Iowa,University of Iowa,Hawkeyes,Iowa City,Iowa,State,Big Ten Conference,University of Iowa Iowa City Iowa,-91.57318762552627,41.66590100000001,Iowa,4.0,794.72729529,412.1394730044817,432.59849019999996,452.65634608,748.152431985,1090.223381195,1250.00582699,4.0,381.96995783375,375.2725819427124,114.83557451,190.93332745249998,237.76994329125,428.8065736725,937.5043702425
Saint Joseph's,Saint Joseph's University,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference,Saint Joseph's University Philadelphia Pennsylvania,-75.24151166935775,39.99652965,Saint Joseph's,2.0,1094.9240528100001,1160.303210532425,274.46578441,684.6949186100001,1094.9240528100001,1505.1531870100002,1915.38232121,2.0,376.65568235625005,144.51833961310925,274.46578441,325.560733383125,376.65568235625005,427.75063132937504,478.8455803025
Iowa State,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737448,42.02791015,Iowa State,5.0,673.0032018740001,365.9747810315176,204.66717998,491.05707388,612.60345519,911.88679734,1144.80150298,5.0,373.3448623255,298.098207425041,153.1508637975,153.50038498499998,245.52853694,455.94339867,858.6011272349999
Texas Tech,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference,Texas Tech University Lubbock Texas,-101.89959552302756,33.59375255,Texas Tech,3.0,692.2072940000002,612.1446416925902,300.3893825300001,339.50779383500003,378.62620514,888.1162497350001,1397.60629433,3.0,346.1036470000001,306.0723208462951,150.19469126500005,169.75389691750001,189.31310257,444.05812486750006,698.803147165
Wichita State,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference,Wichita State University Wichita Kansas,-97.2933776,37.71918,Wichita State,2.0,779.6155525700001,553.4199908581571,388.28852419,583.95203838,779.6155525700001,975.2790667600001,1170.94258095,2.0,340.51208471375,67.56608866921005,292.7356452375,316.623864975625,340.51208471375,364.400304451875,388.28852419
Texas,University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference,University of Texas at Austin Austin Texas,-97.73195598080221,30.284151,Texas,6.0,680.45716839,492.1000468758145,180.77546503,424.48027808500007,561.34034769,747.77650253,1590.5047075700004,6.0,339.12720409750006,208.46803773321366,104.48198022250001,184.9619521425,359.26506149374995,394.5764103531251,678.54334571
Cincinnati,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference,University of Cincinnati Cincinnati Ohio,-84.5157620959388,39.1318525,Cincinnati,10.0,480.11845879599997,481.5499341413732,46.65253468,239.49502453,255.672418515,681.616025305,1661.27886447,10.0,334.40835738075003,362.8121012088636,11.66313367,140.387515100625,218.17345537875,380.56565937374995,1245.9591483525
Utah,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference,University of Utah Salt Lake City Utah,-111.8368719136826,40.7628137,Utah,7.0,653.4932176814285,420.8584836449013,297.89768482,332.989612045,591.9801517000002,794.2333053450001,1430.12885247,7.0,331.59463415,347.24358270200287,74.474421205,148.4719401675,184.040769635,346.55336426125007,1072.5966393525
Gonzaga,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396809,47.66673855000001,Gonzaga,9.0,483.63238084222223,279.9043701106084,229.39774578,285.78716403,549.55293982,549.55293982,1119.08295729,9.0,330.1359657275,218.88865871019436,71.4467910075,172.048309335,274.77646991,549.55293982,559.541478645
Kentucky,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.02703575,Kentucky,22.0,440.05381243454553,338.097523597151,69.96016089,162.04423623499997,340.03906603999997,642.3981946399998,1468.1753988,22.0,326.74949377750005,322.8918847620526,55.67639502750001,118.00301318249998,200.64690961000002,404.29542950687494,1468.1753988
Mississippi State,Mississippi State University,Bulldogs,Starkville,Mississippi,State,Southeastern Conference,Mississippi State University Starkville Mississippi,-88.79345874498733,33.438723499999995,Mississippi State,2.0,509.71063130000005,62.75163000917953,465.33852819,487.524579745,509.71063130000005,531.8966828550001,554.0827344100002,2.0,324.11565745125006,129.32472971451372,232.669264095,278.392460773125,324.11565745125006,369.8388541293751,415.5620508075001
