school_common_name,year,school_full_name,team,city,state,type,conference,address,lng,lat,weightedDist,count,mean,std,min,25%,50%,75%,max
Arizona,2018.0,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495,194.66891956190005,20.0,723.9996099963681,442.91841548710056,0.38782399878422136,463.82781040835613,648.4297609610057,859.1102020189458,1655.0734957773734
Louisville,2017.0,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565,74.7008560939667,14.0,939.6786296690685,920.2309631248263,79.03502143796608,110.3208759121054,479.49617871288416,1637.945330170178,2346.692346027221
Baylor,2017.0,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,Baylor University Waco Texas,-97.1102905567766,31.55043405,147.26115356538259,4.0,584.7626535773658,287.7766818062133,294.52230713076517,410.16619933050924,540.518317826829,715.1147720736857,963.49167152504
Oregon,2017.0,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,University of Oregon Eugene Oregon,-123.07682891244707,44.04426385,176.73318918561958,5.0,391.66079038629766,34.86656838548984,353.46637837123916,353.46637837123916,417.12373172967006,417.12373172967006,417.12373172967006
UCLA,2017.0,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,University of California Los Angeles California,-118.44667592924029,34.0709515,169.1653508390279,12.0,993.9061863897965,1023.2147540488503,36.34366236253514,282.73494371400415,494.31877841195865,2091.561442325946,2687.468752341017
Florida,2017.0,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784,22.67979168293995,11.0,383.50485036764206,323.02807252769793,61.204086058717444,97.83529332283965,480.27403307925294,485.24937599780236,957.6079031487932
Butler,2017.0,Butler University,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference,Butler University Indianapolis Indiana,-86.17374943464813,39.8407191,56.58226938111142,1.0,226.3290775244457,,226.3290775244457,226.3290775244457,226.3290775244457,226.3290775244457,226.3290775244457
West Virginia,2017.0,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference,WVU Morgantown West Virginia,-79.98142972909102,39.64931395,53.14102073053262,3.0,268.37829508947533,96.67305125827033,212.56408292213047,212.56408292213047,212.56408292213047,296.28540117314776,380.00671942416506
Oklahoma,2016.0,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599856,35.1959878,13.333184574396974,15.0,532.1226162099725,369.62217598311247,17.777579432529297,228.38027393234938,459.55431551405997,860.9053776592783,1098.5385783663812
Miami (FL),2016.0,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788,571.3356037290962,3.0,1148.9730155717534,30.861708349505616,1121.7485932414013,1132.209900349797,1142.6712074581924,1162.5852267369296,1182.4992460156666
Texas A&M,2016.0,Texas A&M University,Aggies,College Station,Texas,State,Southeastern Conference,"Texas A & M, College Station Texas",-96.24359931287478,30.551816100000003,157.96361359709366,1.0,315.9272271941873,,315.9272271941873,315.9272271941873,315.9272271941873,315.9272271941873,315.9272271941873
