seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lng,lat
1.0,Villanova,"Buffalo, NY",2017.0,201732,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575
1.0,Kansas,"Tulsa, OK",2017.0,201733,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058
1.0,North Carolina,"Greenville, SC",2017.0,201734,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525107,35.90503535
1.0,Gonzaga,"Salt Lake City, UT",2017.0,201735,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396806,47.666738550000005
2.0,Duke,"Greenville, SC",2017.0,201736,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999
2.0,Louisville,"Indianapolis, IN",2017.0,201737,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565
2.0,Kentucky,"Indianapolis, IN",2017.0,201738,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.027035749999996
2.0,Arizona,"Salt Lake City, UT",2017.0,201739,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495
3.0,Baylor,"Tulsa, OK",2017.0,201740,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,Baylor University Waco Texas,-97.1102905567766,31.55043405
3.0,Oregon,"Sacramento, CA",2017.0,201741,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,University of Oregon Eugene Oregon,-123.07682891244703,44.04426385
3.0,UCLA,"Sacramento, CA",2017.0,201742,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,University of California Los Angeles California,-118.44667592924029,34.0709515
3.0,Florida State,"Orlando, FL",2017.0,201743,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference,Florida State University Tallahassee Florida,-84.29747867166262,30.44235995
4.0,Florida,"Orlando, FL",2017.0,201744,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784
4.0,Purdue,"Milwaukee, WI",2017.0,201745,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,Purdue University West Lafayette Indiana,-86.92391089364378,40.43195815
4.0,Butler,"Milwaukee, WI",2017.0,201746,Butler University,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference,Butler University Indianapolis Indiana,-86.17374943464813,39.8407191
4.0,West Virginia,"Buffalo, NY",2017.0,201747,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference,WVU Morgantown West Virginia,-79.98142972909102,39.64931395
1.0,North Carolina,"Raleigh, NC",2016.0,201648,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525107,35.90503535
1.0,Kansas,"Des Moines, IA",2016.0,201649,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058
1.0,Oregon,"Spokane, WA",2016.0,201650,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,University of Oregon Eugene Oregon,-123.07682891244703,44.04426385
1.0,Virginia,"Raleigh, NC",2016.0,201651,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,University of Virginia Charlottesville Virginia,-78.50549960183568,38.0410576
2.0,Xavier,"St. Louis, MO",2016.0,201652,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference,Xavier University Cincinnati Ohio,-84.47083471474068,39.1513078
2.0,Villanova,"Brooklyn, NY",2016.0,201653,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575
2.0,Oklahoma,"Oklahoma City, OK",2016.0,201654,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599858,35.1959878
2.0,Michigan State,"St. Louis, MO",2016.0,201655,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.718568000000005
3.0,West Virginia,"Brooklyn, NY",2016.0,201656,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference,WVU Morgantown West Virginia,-79.98142972909102,39.64931395
3.0,Miami (FL),"Providence, RI",2016.0,201657,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788
3.0,Texas A&M,"Oklahoma City, OK",2016.0,201658,Texas A&M University,Aggies,College Station,Texas,State,Southeastern Conference,"Texas A & M, College Station Texas",-96.24359931287475,30.5518161
3.0,Utah,"Denver, CO",2016.0,201659,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference,University of Utah Salt Lake City Utah,-111.83687191368261,40.762813699999995
4.0,Kentucky,"Des Moines, IA",2016.0,201660,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.027035749999996
4.0,California,"Spokane, WA",2016.0,201661,"University of California, Berkeley",Golden Bears,Berkeley,California,State,Pac-12 Conference,"University of California, Berkeley Berkeley California",-122.26639872292523,37.87094645
4.0,Duke,"Providence, RI",2016.0,201662,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999
4.0,Iowa State,"Denver, CO",2016.0,201663,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737449,42.02791015
1.0,Villanova,"Pittsburgh, PA",2015.0,201564,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575
1.0,Kentucky,"Louisville, KY",2015.0,201565,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.027035749999996
1.0,Duke,"Charlotte, NC",2015.0,201566,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999
1.0,Wisconsin,"Omaha, NE",2015.0,201567,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.0705257
2.0,Virginia,"Charlotte, NC",2015.0,201568,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,University of Virginia Charlottesville Virginia,-78.50549960183568,38.0410576
2.0,Kansas,"Omaha, NE",2015.0,201569,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058
2.0,Gonzaga,"Seattle, WA",2015.0,201570,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396806,47.666738550000005
2.0,Arizona,"Portland, OR",2015.0,201571,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495
3.0,Oklahoma,"Columbus, OH",2015.0,201572,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599858,35.1959878
3.0,Notre Dame,"Pittsburgh, PA",2015.0,201573,University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference,University of Notre Dame South Bend Indiana,-86.23822026017265,41.704567749999995
3.0,Iowa State,"Louisville, KY",2015.0,201574,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737449,42.02791015
