seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference
1.0,Duke,"Greensboro, NC",2006.0,2006209,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Memphis,"Dallas, TX",2006.0,2006210,University of Memphis,Tigers,Memphis,Tennessee,State,American Athletic Conference
1.0,UConn,"Philadelphia, PA",2006.0,2006211,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
2.0,Ohio State,"Dayton, OH",2006.0,2006212,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference
2.0,Texas,"Dallas, TX",2006.0,2006213,University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference
2.0,UCLA,"San Diego, CA",2006.0,2006214,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
2.0,Tennessee,"Greensboro, NC",2006.0,2006215,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference
3.0,Florida,"Jacksonville, FL",2006.0,2006216,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
3.0,Iowa,"Auburn Hills, MI",2006.0,2006217,University of Iowa,Hawkeyes,Iowa City,Iowa,State,Big Ten Conference
3.0,Gonzaga,"Salt Lake City, UT",2006.0,2006218,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
3.0,North Carolina,"Dayton, OH",2006.0,2006219,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
4.0,Boston College,"Salt Lake City, UT",2006.0,2006220,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
4.0,LSU,"Jacksonville, FL",2006.0,2006221,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference
4.0,Kansas,"Auburn Hills, MI",2006.0,2006222,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
4.0,Illinois,"San Diego, CA",2006.0,2006223,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
1.0,North Carolina,"Charlotte, NC",2005.0,2005224,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Washington,"Boise, ID",2005.0,2005225,University of Washington,Huskies,Seattle,Washington,State,Pac-12 Conference
1.0,Duke,"Charlotte, NC",2005.0,2005226,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Illinois,"Indianapolis, IN",2005.0,2005227,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
2.0,UConn,"Worcester, MA",2005.0,2005228,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
2.0,Wake Forest,"Cleveland, OH",2005.0,2005229,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
2.0,Kentucky,"Indianapolis, IN",2005.0,2005230,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
2.0,Oklahoma State,"Oklahoma City, OK",2005.0,2005231,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
3.0,Kansas,"Oklahoma City, OK",2005.0,2005232,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
3.0,Gonzaga,"Tucson, AZ",2005.0,2005233,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
3.0,Oklahoma,"Tucson, AZ",2005.0,2005234,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
3.0,Arizona,"Boise, ID",2005.0,2005235,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
4.0,Florida,"Nashville, TN",2005.0,2005236,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
4.0,Louisville,"Nashville, TN",2005.0,2005237,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
4.0,Syracuse,"Worcester, MA",2005.0,2005238,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
4.0,Boston College,"Cleveland, OH",2005.0,2005239,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
1.0,Kentucky,"Columbus, OH",2004.0,2004240,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
1.0,Duke,"Raleigh, NC",2004.0,2004241,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Saint Joseph's,"Buffalo, NY",2004.0,2004242,Saint Joseph's University,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
1.0,Stanford,"Seattle, WA",2004.0,2004243,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
2.0,Gonzaga,"Seattle, WA",2004.0,2004244,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
2.0,Mississippi State,"Orlando, FL",2004.0,2004245,Mississippi State University,Bulldogs,Starkville,Mississippi,State,Southeastern Conference
2.0,Oklahoma State,"Kansas City, MO",2004.0,2004246,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
2.0,UConn,"Buffalo, NY",2004.0,2004247,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
3.0,Georgia Tech,"Milwaukee, WI",2004.0,2004248,Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference
3.0,Texas,"Denver, CO",2004.0,2004249,University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference
3.0,Pittsburgh,"Milwaukee, WI",2004.0,2004250,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference
3.0,NC State,"Orlando, FL",2004.0,2004251,North Carolina State University,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference
4.0,Kansas,"Kansas City, MO",2004.0,2004252,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
4.0,Cincinnati,"Columbus, OH",2004.0,2004253,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
4.0,Wake Forest,"Raleigh, NC",2004.0,2004254,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
4.0,Maryland,"Denver, CO",2004.0,2004255,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
1.0,Texas,"Birmingham, AL",2003.0,2003256,University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference
1.0,Oklahoma,"Oklahoma City, OK",2003.0,2003257,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
1.0,Kentucky,"Nashville, TN",2003.0,2003258,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
1.0,Arizona,"Salt Lake City, UT",2003.0,2003259,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
2.0,Florida,"Tampa, FL",2003.0,2003260,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
2.0,Wake Forest,"Tampa, FL",2003.0,2003261,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
2.0,Pittsburgh,"Boston, MA",2003.0,2003262,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference
2.0,Kansas,"Oklahoma City, OK",2003.0,2003263,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
3.0,Xavier,"Nashville, TN",2003.0,2003264,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference
3.0,Syracuse,"Boston, MA",2003.0,2003265,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
3.0,Marquette,"Indianapolis, IN",2003.0,2003266,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference
3.0,Duke,"Salt Lake City, UT",2003.0,2003267,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
4.0,Stanford,"Spokane, WA",2003.0,2003268,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
4.0,Louisville,"Birmingham, AL",2003.0,2003269,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
4.0,Dayton,"Spokane, WA",2003.0,2003270,University of Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference
4.0,Illinois,"Indianapolis, IN",2003.0,2003271,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
1.0,Maryland,"Washington, DC",2002.0,2002272,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
1.0,Kansas,"St. Louis, MO",2002.0,2002273,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,Duke,"Greenville, SC",2002.0,2002274,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Cincinnati,"Pittsburgh, PA",2002.0,2002275,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
2.0,UConn,"Washington, DC",2002.0,2002276,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
2.0,Oregon,"Sacramento, CA",2002.0,2002277,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference
2.0,Alabama,"Greenville, SC",2002.0,2002278,University of Alabama,Crimson Tide,Tuscaloosa,Alabama,State,Southeastern Conference
2.0,Oklahoma,"Dallas, TX",2002.0,2002279,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
3.0,Georgia,"Chicago, IL",2002.0,2002280,University of Georgia,Bulldogs,Athens,Georgia,State,Southeastern Conference
3.0,Mississippi State,"Dallas, TX",2002.0,2002281,Mississippi State University,Bulldogs,Starkville,Mississippi,State,Southeastern Conference
3.0,Pittsburgh,"Pittsburgh, PA",2002.0,2002282,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference
3.0,Arizona,"Albuquerque, NM",2002.0,2002283,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
4.0,Kentucky,"St. Louis, MO",2002.0,2002284,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
4.0,Illinois,"Chicago, IL",2002.0,2002285,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
4.0,USC,"Sacramento, CA",2002.0,2002286,University of Southern California,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference
4.0,Ohio State,"Albuquerque, NM",2002.0,2002287,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference
1.0,Illinois,"Dayton, OH",2001.0,2001288,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
1.0,Duke,"Greensboro, NC",2001.0,2001289,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Michigan State,"Memphis, TN",2001.0,2001290,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
1.0,Stanford,"San Diego, CA",2001.0,2001291,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
2.0,Arizona,"Kansas City, MO",2001.0,2001292,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
2.0,Kentucky,"Uniondale, NY",2001.0,2001293,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
2.0,North Carolina,"New Orleans, LA",2001.0,2001294,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
2.0,Iowa State,"Boise, ID",2001.0,2001295,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference
3.0,Ole Miss,"Kansas City, MO",2001.0,2001296,University of Mississippi,Rebels,Oxford,Mississippi,State,Southeastern Conference
3.0,Boston College,"Uniondale, NY",2001.0,2001297,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
3.0,Florida,"New Orleans, LA",2001.0,2001298,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
3.0,Maryland,"Boise, ID",2001.0,2001299,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
4.0,Kansas,"Dayton, OH",2001.0,2001300,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
4.0,UCLA,"Greensboro, NC",2001.0,2001301,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
4.0,Oklahoma,"Memphis, TN",2001.0,2001302,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
4.0,Indiana,"San Diego, CA",2001.0,2001303,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference
1.0,Duke,"Winston-Salem, NC",2000.0,2000304,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Michigan State,"Cleveland, OH",2000.0,2000305,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
1.0,Stanford,"Birmingham, AL",2000.0,2000306,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
1.0,Arizona,"Tucson, AZ",2000.0,2000307,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
2.0,Temple,"Buffalo, NY",2000.0,2000308,Temple University,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference
2.0,Iowa State,"Minneapolis, MN",2000.0,2000309,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference
2.0,Cincinnati,"Nashville, TN",2000.0,2000310,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
2.0,St. John's,"Tucson, AZ",2000.0,2000311,St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference
3.0,Oklahoma State,"Buffalo, NY",2000.0,2000312,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
3.0,Maryland,"Minneapolis, MN",2000.0,2000313,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
3.0,Ohio State,"Nashville, TN",2000.0,2000314,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference
3.0,Oklahoma,"Tucson, AZ",2000.0,2000315,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
4.0,Illinois,"Winston-Salem, NC",2000.0,2000316,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
4.0,Syracuse,"Cleveland, OH",2000.0,2000317,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
4.0,Tennessee,"Birmingham, AL",2000.0,2000318,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference
4.0,LSU,"Salt Lake City, UT",2000.0,2000319,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference
1.0,Duke,"Charlotte, NC",1999.0,1999320,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Michigan State,"Milwaukee, WI",1999.0,1999321,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
1.0,Auburn,"Indianapolis, IN",1999.0,1999322,Auburn University,Tigers,Auburn,Alabama,State,Southeastern Conference
1.0,UConn,"Denver, CO",1999.0,1999323,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
2.0,Miami (FL),"Boston, MA",1999.0,1999324,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference
2.0,Utah,"New Orleans, LA",1999.0,1999325,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
2.0,Maryland,"Orlando, FL",1999.0,1999326,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
2.0,Stanford,"Seattle, WA",1999.0,1999327,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
3.0,Cincinnati,"Boston, MA",1999.0,1999328,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
3.0,Kentucky,"New Orleans, LA",1999.0,1999329,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
3.0,St. John's,"Orlando, FL",1999.0,1999330,St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference
3.0,North Carolina,"Seattle, WA",1999.0,1999331,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
4.0,Tennessee,"Charlotte, NC",1999.0,1999332,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference
4.0,Arizona,"Milwaukee, WI",1999.0,1999333,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
4.0,Ohio State,"Indianapolis, IN",1999.0,1999334,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference
4.0,Arkansas,"Denver, CO",1999.0,1999335,University of Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference
1.0,North Carolina,"Hartford, CT",1998.0,1998336,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Kansas,"Oklahoma City, OK",1998.0,1998337,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,Duke,"Lexington, KY",1998.0,1998338,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Arizona,"Sacramento, CA",1998.0,1998339,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
2.0,UConn,"Washington, DC",1998.0,1998340,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
2.0,Purdue,"Chicago, IL",1998.0,1998341,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
2.0,Kentucky,"Atlanta, GA",1998.0,1998342,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
2.0,Cincinnati,"Boise, ID",1998.0,1998343,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
3.0,South Carolina,"Washington, DC",1998.0,1998344,University of South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference
3.0,Stanford,"Chicago, IL",1998.0,1998345,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
3.0,Michigan,"Atlanta, GA",1998.0,1998346,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
3.0,Utah,"Boise, ID",1998.0,1998347,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
4.0,Michigan State,"Hartford, CT",1998.0,1998348,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
4.0,Ole Miss,"Oklahoma City, OK",1998.0,1998349,University of Mississippi,Rebels,Oxford,Mississippi,State,Southeastern Conference
4.0,New Mexico,"Lexington, KY",1998.0,1998350,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference
4.0,Maryland,"Sacramento, CA",1998.0,1998351,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
1.0,North Carolina,"Winston-Salem, NC",1997.0,1997352,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Minnesota,"Kansas City, MO",1997.0,1997353,University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,Big Ten Conference
1.0,Kansas,"Memphis, TN",1997.0,1997354,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,Kentucky,"Salt Lake City, UT",1997.0,1997355,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
2.0,South Carolina,"Pittsburgh, PA",1997.0,1997356,University of South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference
2.0,UCLA,"Auburn Hills, MI",1997.0,1997357,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
2.0,Duke,"Charlotte, NC",1997.0,1997358,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
2.0,Utah,"Tucson, AZ",1997.0,1997359,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
3.0,New Mexico,"Pittsburgh, PA",1997.0,1997360,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference
3.0,Cincinnati,"Auburn Hills, MI",1997.0,1997361,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
3.0,Georgia,"Charlotte, NC",1997.0,1997362,University of Georgia,Bulldogs,Athens,Georgia,State,Southeastern Conference
3.0,Wake Forest,"Tucson, AZ",1997.0,1997363,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
4.0,Villanova,"Winston-Salem, NC",1997.0,1997364,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
4.0,Clemson,"Kansas City, MO",1997.0,1997365,Clemson University,Tigers,Clemson,South Carolina,State,Atlantic Coast Conference
4.0,Arizona,"Memphis, TN",1997.0,1997366,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
4.0,Saint Joseph's,"Salt Lake City, UT",1997.0,1997367,Saint Joseph's University,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
1.0,UMass,"Providence, RI",1996.0,1996368,University of Massachusetts Amherst,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference
1.0,Kentucky,"Dallas, TX",1996.0,1996369,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
1.0,UConn,"Indianapolis, IN",1996.0,1996370,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
1.0,Purdue,"Albuquerque, NM",1996.0,1996371,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
2.0,Georgetown,"Richmond, VA",1996.0,1996372,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference
2.0,Wake Forest,"Milwaukee, WI",1996.0,1996373,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
2.0,Cincinnati,"Orlando, FL",1996.0,1996374,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
2.0,Kansas,"Tempe, AZ",1996.0,1996375,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
3.0,Texas Tech,"Richmond, VA",1996.0,1996376,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference
3.0,Villanova,"Milwaukee, WI",1996.0,1996377,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
3.0,Georgia Tech,"Orlando, FL",1996.0,1996378,Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference
3.0,Arizona,"Tempe, AZ",1996.0,1996379,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
4.0,Marquette,"Providence, RI",1996.0,1996380,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference
4.0,Utah,"Dallas, TX",1996.0,1996381,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
4.0,UCLA,"Indianapolis, IN",1996.0,1996382,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
4.0,Syracuse,"Albuquerque, NM",1996.0,1996383,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
1.0,Wake Forest,"Baltimore, MD",1995.0,1995384,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
1.0,Kansas,"Dayton, OH",1995.0,1995385,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,Kentucky,"Memphis, TN",1995.0,1995386,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
1.0,UCLA,"Boise, ID",1995.0,1995387,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
2.0,UMass,"Albany, NY",1995.0,1995388,University of Massachusetts Amherst,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference
2.0,Arkansas,"Austin, TX",1995.0,1995389,University of Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference
2.0,North Carolina,"Tallahassee, FL",1995.0,1995390,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
2.0,UConn,"Salt Lake City, UT",1995.0,1995391,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
3.0,Villanova,"Albany, NY",1995.0,1995392,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
3.0,Purdue,"Austin, TX",1995.0,1995393,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
3.0,Michigan State,"Tallahassee, FL",1995.0,1995394,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
3.0,Maryland,"Salt Lake City, UT",1995.0,1995395,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
4.0,Oklahoma State,"Baltimore, MD",1995.0,1995396,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
4.0,Virginia,"Dayton, OH",1995.0,1995397,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
4.0,Oklahoma,"Memphis, TN",1995.0,1995398,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
4.0,Utah,"Boise, ID",1995.0,1995399,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
1.0,North Carolina,"Landover, MD",1994.0,1994400,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Arkansas,"Oklahoma City, OK",1994.0,1994401,University of Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference
1.0,Purdue,"Lexington, KY",1994.0,1994402,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
1.0,Missouri,"Ogden, UT",1994.0,1994403,University of Missouri,Tigers,Columbia,Missouri,State,Southeastern Conference
2.0,UConn,"Uniondale, NY",1994.0,1994404,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
2.0,UMass,"Park City, KS",1994.0,1994405,University of Massachusetts Amherst,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference
2.0,Duke,"St. Petersburg, FL",1994.0,1994406,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
2.0,Arizona,"Sacramento, CA",1994.0,1994407,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
3.0,Florida,"Uniondale, NY",1994.0,1994408,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
3.0,Michigan,"Park City, KS",1994.0,1994409,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
3.0,Kentucky,"St. Petersburg, FL",1994.0,1994410,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
3.0,Louisville,"Sacramento, CA",1994.0,1994411,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
4.0,Temple,"Landover, MD",1994.0,1994412,Temple University,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference
4.0,Oklahoma State,"Oklahoma City, OK",1994.0,1994413,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
