seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference
1.0,North Carolina,"Raleigh, NC",2016.0,201648,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Kansas,"Des Moines, IA",2016.0,201649,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,Oregon,"Spokane, WA",2016.0,201650,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference
1.0,Virginia,"Raleigh, NC",2016.0,201651,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
2.0,Xavier,"St. Louis, MO",2016.0,201652,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference
2.0,Villanova,"Brooklyn, NY",2016.0,201653,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
2.0,Oklahoma,"Oklahoma City, OK",2016.0,201654,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
2.0,Michigan State,"St. Louis, MO",2016.0,201655,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
3.0,West Virginia,"Brooklyn, NY",2016.0,201656,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference
3.0,Miami (FL),"Providence, RI",2016.0,201657,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference
3.0,Texas A&M,"Oklahoma City, OK",2016.0,201658,Texas A&M University,Aggies,College Station,Texas,State,Southeastern Conference
3.0,Utah,"Denver, CO",2016.0,201659,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
4.0,Kentucky,"Des Moines, IA",2016.0,201660,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
4.0,California,"Spokane, WA",2016.0,201661,"University of California, Berkeley",Golden Bears,Berkeley,California,State,Pac-12 Conference
4.0,Duke,"Providence, RI",2016.0,201662,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
4.0,Iowa State,"Denver, CO",2016.0,201663,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference
1.0,Villanova,"Pittsburgh, PA",2015.0,201564,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
1.0,Kentucky,"Louisville, KY",2015.0,201565,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
1.0,Duke,"Charlotte, NC",2015.0,201566,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Wisconsin,"Omaha, NE",2015.0,201567,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference
2.0,Virginia,"Charlotte, NC",2015.0,201568,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
2.0,Kansas,"Omaha, NE",2015.0,201569,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
2.0,Gonzaga,"Seattle, WA",2015.0,201570,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
2.0,Arizona,"Portland, OR",2015.0,201571,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
3.0,Oklahoma,"Columbus, OH",2015.0,201572,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
3.0,Notre Dame,"Pittsburgh, PA",2015.0,201573,University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference
3.0,Iowa State,"Louisville, KY",2015.0,201574,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference
3.0,Baylor,"Jacksonville, FL",2015.0,201575,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference
4.0,Louisville,"Seattle, WA",2015.0,201576,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
4.0,Maryland,"Columbus, OH",2015.0,201577,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference
4.0,Georgetown,"Portland, OR",2015.0,201578,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference
4.0,North Carolina,"Jacksonville, FL",2015.0,201579,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Wichita State,"St. Louis, MO",2014.0,201480,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference
1.0,Florida,"Orlando, FL",2014.0,201481,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
1.0,Virginia,"Raleigh, NC",2014.0,201482,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
1.0,Arizona,"San Diego, CA",2014.0,201483,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
2.0,Michigan,"Milwaukee, WI",2014.0,201484,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
2.0,Kansas,"St. Louis, MO",2014.0,201485,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
2.0,Villanova,"Buffalo, NY",2014.0,201486,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
2.0,Wisconsin,"Milwaukee, WI",2014.0,201487,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference
3.0,Duke,"Raleigh, NC",2014.0,201488,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
3.0,Syracuse,"Buffalo, NY",2014.0,201489,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
3.0,Iowa State,"San Antonio, TX",2014.0,201490,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference
3.0,Creighton,"San Antonio, TX",2014.0,201491,Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference
4.0,Louisville,"Orlando, FL",2014.0,201492,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
4.0,UCLA,"San Diego, CA",2014.0,201493,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
4.0,Michigan State,"Spokane, WA",2014.0,201494,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
4.0,San Diego State,"Spokane, WA",2014.0,201495,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference
1.0,Indiana,"Dayton, OH",2013.0,201396,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference
1.0,Louisville,"Lexington, KY",2013.0,201397,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
1.0,Gonzaga,"Salt Lake City, UT",2013.0,201398,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
1.0,Kansas,"Kansas City, MO",2013.0,201399,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
2.0,Miami (FL),"Austin, TX",2013.0,2013100,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference
2.0,Duke,"Philadelphia, PA",2013.0,2013101,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
2.0,Ohio State,"Dayton, OH",2013.0,2013102,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference
2.0,Georgetown,"Philadelphia, PA",2013.0,2013103,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference
3.0,Marquette,"Lexington, KY",2013.0,2013104,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference
3.0,Michigan State,"Auburn Hills, MI",2013.0,2013105,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
3.0,New Mexico,"Salt Lake City, UT",2013.0,2013106,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference
3.0,Florida,"Austin, TX",2013.0,2013107,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
